replication,degree,method,selected_bandwidth,validation_mean_nv_loss,test_mean_excess_risk,test_expected_nv_loss,test_mean_effective_n,runtime_sec
0,0,KO,0.25,0.19008764698153527,0.0757868063638473,0.1695368063638473,532.6913580246913,1.2525732517242432
0,1,KPQR-1,0.25,0.10450026811590421,0.0032703864817445693,0.09702038648174457,532.6913580246913,1.4351119995117188
0,2,KPQR-2,0.25,0.09904093168342518,0.00041953176212062833,0.09416953176212063,532.6913580246913,1.6007869243621826
1,0,KO,0.25,0.18694378261863712,0.08110238387859593,0.17485238387859592,528.604938271605,1.1912016868591309
1,1,KPQR-1,0.25,0.10084138583844901,0.005371413962838348,0.09912141396283834,528.604938271605,1.4381742477416992
1,2,KPQR-2,0.25,0.09588067403511072,0.0007933813787668468,0.09454338137876685,528.604938271605,1.6573498249053955
2,0,KO,0.25,0.17135310510538382,0.07500510932563816,0.16875510932563814,527.716049382716,1.183480978012085
2,1,KPQR-1,0.25,0.09670626802955441,0.0028072086618601737,0.09655720866186017,527.716049382716,1.4290599822998047
2,2,KPQR-2,0.25,0.08944466090734021,0.0005613800780853904,0.09431138007808539,527.716049382716,1.6191051006317139
3,0,KO,0.25,0.16984454010551064,0.0735680307976959,0.16731803079769592,532.4567901234568,1.185711145401001
3,1,KPQR-1,0.25,0.10614380693113101,0.004996317485476061,0.09874631748547606,532.4567901234568,1.4292778968811035
3,2,KPQR-2,0.25,0.10384621091808764,0.00041810014241049727,0.09416810014241049,532.4567901234568,1.6044049263000488
4,0,KO,0.25,0.1662702049378595,0.07572033676498365,0.16947033676498363,533.1358024691358,1.197204351425171
4,1,KPQR-1,0.25,0.09529284023887992,0.0034494880628124637,0.09719948806281246,533.1358024691358,1.4290931224822998
4,2,KPQR-2,0.25,0.09362653367086246,0.0003621433556867196,0.09411214335568673,533.1358024691358,1.6009061336517334
5,0,KO,0.25,0.16852005254180127,0.07159141499090901,0.165341414990909,531.604938271605,1.2100780010223389
5,1,KPQR-1,0.25,0.1011946458312742,0.0033932600725608045,0.0971432600725608,531.604938271605,1.44901704788208
5,2,KPQR-2,0.25,0.09913301101614445,0.00017956333466424953,0.09392956333466425,531.604938271605,1.624631643295288
