degree,method,replications,mean_selected_bandwidth,median_selected_bandwidth,mean_test_excess_risk,std_test_excess_risk,ci95_excess_lower,ci95_excess_upper,mean_expected_nv_loss,std_expected_nv_loss,ci95_nv_loss_lower,ci95_nv_loss_upper,mean_runtime_sec,improvement_vs_previous_pct
0,KO,20,0.25,0.25,0.07316234835843487,0.0030838797110337678,0.071719048226005,0.07460564849086473,0.16691234835843488,0.003083879711033765,0.165469048226005,0.16835564849086476,1.2039371848106384,
1,KPQR-1,20,0.25,0.25,0.0036036794771448165,0.0009086412704620319,0.0031784222723008964,0.004028936681988737,0.09735367947714482,0.0009086412704620307,0.0969284222723009,0.09777893668198874,1.4457858085632325,95.07440704405799
2,KPQR-2,20,0.25,0.25,0.0004810908156872901,0.0002412880159425719,0.0003681645481296897,0.0005940170832448905,0.09423109081568729,0.00024128801594257312,0.09411816454812968,0.09434401708324489,1.6174578547477723,86.6500109474648
