replication,degree,method,selected_bandwidth,query_x,oracle_decision,estimated_decision,pointwise_excess_risk
0,0,KO,0.25,0.02,2.3516516048510954,2.4518753096802213,0.005022395504837865
0,0,KO,0.25,0.032,2.3538149387682963,2.4695213964647746,0.006693992176333471
0,0,KO,0.25,0.044,2.3584450962402292,2.4921367479680483,0.008936728870856225
0,0,KO,0.25,0.05600000000000001,2.365532543127562,2.5110189467665296,0.0105831468219003
0,0,KO,0.25,0.068,2.375067618972426,2.5283675325571977,0.011750431752549265
0,0,KO,0.25,0.08,2.38704053183983,2.5435360788375347,0.012245428115055454
0,0,KO,0.25,0.09200000000000001,2.4014413527980447,2.556074995324689,0.011955781700529022
0,0,KO,0.25,0.10400000000000001,2.418260010001581,2.5715754459779827,0.011752811454317072
0,0,KO,0.25,0.116,2.4374862823354753,2.591059431314036,0.011792356043595617
0,0,KO,0.25,0.128,2.4591097925739756,2.6067436730979443,0.010897881339282753
0,0,KO,0.25,0.13999999999999999,2.48312,2.625265479238281,0.010102668633940257
0,0,KO,0.25,0.152,2.5095061924239404,2.6584836622779022,0.01109714326204407
0,0,KO,0.25,0.164,2.5382574775310243,2.6876010624832034,0.011151753183184385
0,0,KO,0.25,0.176,2.569362773475381,2.739168440053763,0.014416982201064313
0,0,KO,0.25,0.188,2.6028107986256512,2.7738257452331783,0.014623055981587654
0,0,KO,0.25,0.19999999999999998,2.6385900603509294,2.798191160640463,0.01273625560681485
0,0,KO,0.25,0.212,2.6766888427163567,2.8381121431416627,0.013028740960099316
0,0,KO,0.25,0.224,2.717095192933862,2.883843178710775,0.013902445380328796
0,0,KO,0.25,0.236,2.7597969063842114,2.9160278244099755,0.012204049873586531
0,0,KO,0.25,0.248,2.8047815099900237,2.954575151921111,0.011219067581489384
0,0,KO,0.25,0.26,2.8520362436737248,3.0312420537847737,0.016057361188778665
0,0,KO,0.25,0.272,2.901548039576489,3.0915174926259663,0.018044196545958735
0,0,KO,0.25,0.28400000000000003,2.9533034986401567,3.1944077237752566,0.029065623688998468
0,0,KO,0.25,0.29600000000000004,3.0072888640581694,3.2471936457655683,0.028777152143037374
0,0,KO,0.25,0.30800000000000005,3.063489990975793,3.316368260397803,0.03196956735550249
0,0,KO,0.25,0.32,3.121892311652533,3.3811582326768783,0.03356648025608633
0,0,KO,0.25,0.332,3.182480795073476,3.455572783531551,0.03702299711451873
0,0,KO,0.25,0.34400000000000003,3.245239899685132,3.5139036664993126,0.03591594170354517
0,0,KO,0.25,0.35600000000000004,3.3101535174947005,3.5833320969083045,0.037044644853400976
0,0,KO,0.25,0.36800000000000005,3.377204907144751,3.6588494434331826,0.03916113407210786
0,0,KO,0.25,0.38,3.446376612651597,3.750955208946518,0.04489464907373031
0,0,KO,0.25,0.392,3.5176503630928884,3.8879202153650017,0.06131746306802832
0,0,KO,0.25,0.404,3.5910069463229837,4.013994725012538,0.07449694467238865
0,0,KO,0.25,0.41600000000000004,3.6664260461728446,4.10437689575766,0.07823771239620392
0,0,KO,0.25,0.42800000000000005,3.743886026334887,4.208141050969507,0.08481375615865505
0,0,KO,0.25,0.44,3.823363632614804,4.29630605968598,0.08698560676779399
0,0,KO,0.25,0.452,3.9048335622179935,4.437752040270177,0.1019796195130459
0,0,KO,0.25,0.464,3.9882677974217096,4.531747160461807,0.10461984076002429
0,0,KO,0.25,0.47600000000000003,4.073634467072593,4.596953972384232,0.09957987632790966
0,0,KO,0.25,0.48800000000000004,4.160895548819313,4.6675805667959365,0.09542125449415595
0,0,KO,0.25,0.5,4.25,4.759347590037308,0.09608689750932697
0,0,KO,0.25,0.512,4.340895548819312,4.8327678445061055,0.09171807392169828
0,0,KO,0.25,0.524,4.433634467072594,4.940568953924426,0.09548362171295821
0,0,KO,0.25,0.536,4.5282677974217105,5.037201753637349,0.09598348905390952
0,0,KO,0.25,0.548,4.624833562217995,5.150648139018175,0.10020364420004513
0,0,KO,0.25,0.56,4.723363632614804,5.277212923049148,0.10721232260858593
0,0,KO,0.25,0.5720000000000001,4.823886026334886,5.421666521931681,0.11819512389919873
0,0,KO,0.25,0.5840000000000001,4.926426046172846,5.577532571374158,0.13152663130032805
0,0,KO,0.25,0.5960000000000001,5.031006946322984,5.65888936828498,0.1257206054904989
0,0,KO,0.25,0.608,5.137650363092889,5.770609156033172,0.12698969823507067
0,0,KO,0.25,0.62,5.246376612651597,5.875910201837895,0.12613339729657458
0,0,KO,0.25,0.632,5.357204907144751,5.969096837074278,0.12172298248238178
0,0,KO,0.25,0.644,5.4701535174947,6.133165252950452,0.13450293386393786
0,0,KO,0.25,0.656,5.585239899685132,6.268603814098464,0.13959097860333292
