comparison,mean_excess_risk_reduction,std_reduction,ci95_lower,ci95_upper,fraction_higher_degree_better
degree_0_minus_degree_1,0.06955866888129007,0.002887761567172284,0.06820715486554771,0.07091018289703244,1.0
degree_1_minus_degree_2,0.0031225886614575263,0.0009376198176032765,0.002683769079074385,0.0035614082438406676,1.0
degree_0_minus_degree_2,0.0726812575427476,0.003085899333004138,0.07123701219814008,0.07412550288735512,1.0
