hidden_layers,lr,weight_decay,validation_mean_cost,is_best
512-512-512,0.001,0.0,0.10249449790855734,False
512-512-512,0.001,1e-05,0.1016923855339931,True
512-512-512,0.0005,0.0,0.10578077197485193,False
512-512-512,0.0005,1e-05,0.10496275285360386,False
