timestamp,model_name,scenario,test_samples,total_test_runtime_sec,per_sample_runtime_sec
2026-06-20 04:36:17,DNN (Deep_NV),b,1000,1.792295217514038,0.001792295217514038
2026-06-20 04:36:18,Est-Opt (OLS),b,1000,0.0016930103302001953,1.6930103302001953e-06
2026-06-20 04:36:21,KO,b,1000,0.11942720413208008,0.00011942720413208008
2026-06-20 04:54:51,KPQR,b,1000,200.467050075531,0.200467050075531
2026-06-20 04:54:53,LinearModel,b,1000,9.059906005859375e-06,9.059906005859375e-09
2026-06-20 04:54:54,LinearModel-L1,b,1000,9.059906005859375e-06,9.059906005859375e-09
2026-06-20 04:54:55,LinearModel-L2,b,1000,9.298324584960938e-06,9.298324584960937e-09
2026-06-20 04:54:56,Oracle,b,1000,0.001344919204711914,1.344919204711914e-06
2026-06-20 04:56:54,RKHS,b,1000,16.585575819015503,0.016585575819015503
2026-06-20 04:56:56,SAA,b,1000,0.02848196029663086,2.848196029663086e-05
2026-06-20 04:56:57,Minimax (Scarf),b,1000,0.0015041828155517578,1.5041828155517579e-06
