Decision_Q,Demand_D,Operation_Cost
6.358195566032874,5.528147636515127,0.2075119823794367
9.055767164922402,8.929036259820707,0.03168272627542379
6.904740639165011,6.135501077654363,0.1923098903776621
8.27587145838494,8.255115546571767,0.005188977953292984
9.349292014100648,9.546263026492817,0.14772825929412647
7.489071401191172,7.109097766877765,0.0949934085783517
9.260874112281078,9.035493329299396,0.05634519574542063
5.5824347570414,5.044536789239126,0.1344744919505685
5.202281750425462,5.033374932520762,0.04222670447617505
4.939372621409419,4.655177962043373,0.0710486648415114
2.9354474411206546,2.3619952614954216,0.14336304490630825
8.53365717680325,8.21071093772062,0.0807365597706573
5.036197141795963,4.853947954099462,0.04556229692412517
8.617041817422752,8.12729737527387,0.1224361105372207
6.603713906706445,6.520950041784496,0.020690966230487273
5.087841367910415,4.894590026899001,0.04831283525285346
9.116150202979146,9.247722293012258,0.09867906752483391
5.651936909099109,5.421607918673568,0.057582247606385195
8.121378648239059,8.064913957229384,0.01411617275241861
5.025109497802219,5.038203456040723,0.009820468678878091
5.2170346375494425,4.773091323723409,0.1109858284565084
7.399300841775534,7.6007387622030596,0.15107844032064421
7.65242228900999,7.485666069267408,0.04168905493564545
7.581515000442675,7.75753716840816,0.13201662597411423
8.110358343372026,8.203682440482387,0.06999307283277112
5.410741448177149,5.112131687314618,0.07465244021563278
7.046832725152412,7.282352358972831,0.17663972536531447
8.39966927533877,8.529580537007307,0.09743344625140304
5.907468718686194,5.477268350776752,0.10755009197736043
5.848940449234558,5.255895517194174,0.14826123301009586
9.647443823467398,9.01756549462992,0.15746958220936946
8.709907987356887,8.834719441406037,0.09360859053686221
7.708729459175315,7.513800714799366,0.04873218609398711
6.839228213403386,6.761582945067133,0.019411317084063295
7.590204372938849,7.6760221342049855,0.06436332094960262
10.030581026991172,9.657835108454362,0.09318647963420235
7.818830620732411,7.517547962003344,0.07532066468226684
8.369287339601174,8.171484047123645,0.0494508231193822
7.628963461406428,7.352211250456752,0.06918805273741913
8.368668006837142,8.21618657271367,0.038120358530867815
4.324269920396282,4.04646665112006,0.06945081731905556
8.32776727013727,8.352972330620053,0.018903795362087195
6.7568293846474194,6.428373382366082,0.08211400057033447
8.275847546090763,8.279180295212154,0.002499561841043274
7.139040610010815,7.063641789454751,0.01884970513901596
9.973425729575812,10.33551721326586,0.27156861276753563
8.114027580980633,7.659169305523472,0.11371456886429021
6.574944566390876,6.617142514145855,0.0316484608162344
7.587875023845364,7.288734580286935,0.07478511088960738
7.93963046154655,8.135042952891249,0.14655936850852447
6.173305626469263,6.304421854595501,0.0983371710946781
8.71415101774989,8.794718645959621,0.06042572115729872
8.005651469858378,7.557895558129038,0.11193897793233498
8.725472277461652,8.661066321602695,0.016101488964739286
7.559556427334678,7.514145195859983,0.011352807868673542
9.858696714743324,9.183368095620713,0.16883215478065283
5.144364548530672,4.5507957502552685,0.14839219956885086
5.352431644023415,5.450999704076642,0.07392604503991995
5.862125298458747,6.035186898467796,0.12979620000678627
7.203856187692145,7.078164984750108,0.03142280073550929
9.371073046745783,9.707588213778742,0.25238637527471885
6.023563250990546,5.832915610031529,0.04766191023975419
6.9596761021068225,7.013095740493692,0.040064728790152104
6.840864138752206,7.067545450888247,0.17001098410203053
6.870115993909162,6.734893936270048,0.033805514409778636
7.901010758000082,7.7975567462941315,0.025863502926487536
6.905886670201556,6.627613531329957,0.06956828471789978
7.950161988471528,7.351067940330981,0.1497735120351369
9.06131697848906,8.347396510473818,0.1784801170038106
4.87359254533073,4.540925915862884,0.0831666573669616
6.20976775147377,6.593988206652289,0.28816534138388916
5.0597213187388785,4.7486821151679,0.0777598008927447
7.137157131301545,7.0810302884631575,0.014031710709596856
8.044175212784614,7.73257097157139,0.0779010603033059
6.158399327363159,6.048685601719949,0.027428431410802423
7.559262260717489,7.025756697923342,0.1333763906985368
7.295551573671719,6.925935549524199,0.09240400603687982
7.404947474071152,7.33527056979398,0.017419226069292915
9.139718595270516,9.10982927420993,0.007472330265146265
7.760170561821309,7.429055168841961,0.08277884824483706
7.881325963395048,8.034909507348173,0.11518765796484409
7.401250123253488,7.675081285369697,0.20537337158715663
8.952800322040371,8.499765148521812,0.11325879337963984
7.145488478682715,6.515100207499582,0.1575970677957832
7.984479380831656,8.11682147397956,0.09925656986092735
8.121880251938459,8.11488262489099,0.0017494067618670783
10.623097740697313,10.454020850505035,0.04226922254806942
6.76530686577669,6.5402859844107955,0.05625522034147368
7.52466184179407,7.397568079943874,0.03177344046254893
7.624483815588716,7.760378618316726,0.10192110204600735
6.281495757246629,5.637275281377621,0.161055118967252
7.54589641836174,7.098431190398946,0.11186630699069844
10.183611772932268,10.18329310545542,7.966686921223598e-05
5.506196252665205,5.407683765052384,0.024628121903205402
4.918186736374407,4.839639685901654,0.019636762618188364
10.169300041690466,10.096073781834448,0.0183065649640044
7.478935930469988,7.144966392924998,0.08349238438624762
7.459386302255007,6.961561009908273,0.12445632308668353
6.764345652688232,6.504922544796821,0.06485577697285283
8.845710858500695,8.924505136967465,0.05909570885007742
6.467430772430815,6.399152744166573,0.017069507066060474
6.365888465532628,6.574335330063234,0.15633514839795426
6.431555691114052,6.327443297506506,0.026028098401886357
6.227552654679495,5.697696624814552,0.13246400746623577
10.929869425055644,10.76812010193293,0.04043733078067868
7.863973255517281,7.858810097307287,0.0012907895524985058
6.462648180689628,6.256564886935103,0.05152082343863129
7.415217399236289,7.418229176704235,0.0022588331009600893
7.2584344924854545,6.696343102619601,0.14052284746646326
5.750136486492129,5.70757985530746,0.010639157796167087
10.449057648616805,9.922229554047318,0.13170702364237163
9.189691573123357,8.53788135885411,0.16295255356731175
5.313882886889983,5.039097584851257,0.06869632550968152
4.837661551649423,4.449171533067672,0.09712250464543759
8.943005906450344,8.299924942110344,0.16077024108499982
5.917347513438874,6.06694185361992,0.11219575513578484
7.783114292257707,7.793746404751229,0.007974084370141021
3.4001252115948595,3.7499244934635536,0.2623494614015206
7.021450519005716,7.052695257875508,0.02343355415234405
8.59782619271369,8.329198538678826,0.067156913508716
6.173495390693828,5.85638034350826,0.07927876179639215
