timestamp,model_name,scenario,test_samples,total_test_runtime_sec,per_sample_runtime_sec
2026-06-20 03:54:14,DNN (Deep_NV),b,1000,1.1845221519470215,0.0011845221519470215
2026-06-20 03:54:16,Est-Opt (OLS),b,1000,0.001644134521484375,1.644134521484375e-06
2026-06-20 03:54:18,KO,b,1000,0.1217951774597168,0.0001217951774597168
2026-06-20 04:12:48,KPQR,b,1000,200.68542218208313,0.20068542218208313
2026-06-20 04:12:50,LinearModel,b,1000,8.821487426757812e-06,8.821487426757812e-09
2026-06-20 04:12:51,LinearModel-L1,b,1000,7.867813110351562e-06,7.867813110351563e-09
2026-06-20 04:12:52,LinearModel-L2,b,1000,9.059906005859375e-06,9.059906005859375e-09
2026-06-20 04:12:53,Oracle,b,1000,0.0012538433074951172,1.2538433074951173e-06
2026-06-20 04:14:54,RKHS,b,1000,17.108832120895386,0.017108832120895385
2026-06-20 04:14:56,SAA,b,1000,0.02580714225769043,2.580714225769043e-05
2026-06-20 04:14:57,Minimax (Scarf),b,1000,0.0014829635620117188,1.4829635620117187e-06
