Selected_Hidden_Layers,Selected_LR,Selected_Weight_Decay,Selected_Update_Step,Decision_Q,Demand_D,Operation_Cost
512-512-512,0.001,1e-05,80,8.322553634643555,8.015922639941753,0.0766577486754505
512-512-512,0.001,1e-05,80,6.615077018737793,6.049841593956506,0.14130885619532174
512-512-512,0.001,1e-05,80,7.221927165985107,7.564693949289263,0.2570750874781169
512-512-512,0.001,1e-05,80,7.336846351623535,7.774134592412976,0.3279661805920804
512-512-512,0.001,1e-05,80,8.146215438842773,7.971528760422184,0.043671669605147345
512-512-512,0.001,1e-05,80,4.722125053405762,4.949164479445725,0.17027956952997214
512-512-512,0.001,1e-05,80,9.25691032409668,9.235854077919802,0.005264061544219434
512-512-512,0.001,1e-05,80,6.257548809051514,6.185934793730357,0.01790350383028927
512-512-512,0.001,1e-05,80,7.883743762969971,7.711939776729301,0.04295099656016732
512-512-512,0.001,1e-05,80,8.737058639526367,8.172631120215508,0.14110687982771486
512-512-512,0.001,1e-05,80,5.441076755523682,4.444507213911323,0.24914238540308964
512-512-512,0.001,1e-05,80,9.18722915649414,9.180184085452822,0.0017612677603295879
512-512-512,0.001,1e-05,80,7.27766227722168,7.276473389537288,0.00029722192109793433
512-512-512,0.001,1e-05,80,7.078127384185791,6.718508181383652,0.08990480070053475
512-512-512,0.001,1e-05,80,6.683444023132324,7.434396990609577,0.5632147256079396
512-512-512,0.001,1e-05,80,6.669206142425537,6.426852461069256,0.060588420339070304
512-512-512,0.001,1e-05,80,7.233154773712158,7.0302822478784455,0.050718131458428184
512-512-512,0.001,1e-05,80,7.438535690307617,7.604052113438532,0.1241373173481859
512-512-512,0.001,1e-05,80,8.363351821899414,7.858238049548046,0.12627844308784208
512-512-512,0.001,1e-05,80,8.676703453063965,8.300201481700782,0.09412549284079574
512-512-512,0.001,1e-05,80,8.44009017944336,8.15514339209524,0.07123669683702971
512-512-512,0.001,1e-05,80,5.789487838745117,5.603530687856424,0.0464892877221732
512-512-512,0.001,1e-05,80,6.408039093017578,6.465890076504207,0.0433882376149719
512-512-512,0.001,1e-05,80,8.286275863647461,8.072991607380965,0.05332106406662396
512-512-512,0.001,1e-05,80,6.376835823059082,6.284496862596255,0.023084740115706825
512-512-512,0.001,1e-05,80,6.331899642944336,6.154450668739516,0.044362243551204994
512-512-512,0.001,1e-05,80,8.368130683898926,8.380989929284233,0.00964443403898052
512-512-512,0.001,1e-05,80,8.963207244873047,8.726697949982073,0.05912732372274343
512-512-512,0.001,1e-05,80,8.854339599609375,8.968251284431837,0.08543376361684629
512-512-512,0.001,1e-05,80,6.789295196533203,6.881131744770579,0.06887741117803214
512-512-512,0.001,1e-05,80,5.440523147583008,5.17742064088172,0.065775626675322
512-512-512,0.001,1e-05,80,8.17390251159668,8.015453635892046,0.039612218926158516
512-512-512,0.001,1e-05,80,3.7103991508483887,3.2133875311767572,0.12425290491790786
512-512-512,0.001,1e-05,80,5.803699493408203,5.600595373046396,0.05077603009045184
512-512-512,0.001,1e-05,80,8.399293899536133,8.61595091651902,0.16249276273716573
512-512-512,0.001,1e-05,80,7.361394882202148,6.61620984872515,0.18629625836924957
512-512-512,0.001,1e-05,80,6.917362213134766,6.73189475951972,0.046366863403761505
512-512-512,0.001,1e-05,80,8.963910102844238,9.068528847287457,0.07846405833241388
512-512-512,0.001,1e-05,80,6.680840492248535,6.263140986754997,0.1044248763733846
512-512-512,0.001,1e-05,80,7.875300407409668,7.544285099440492,0.08275382699229406
512-512-512,0.001,1e-05,80,6.015782356262207,5.961641621872673,0.013535183597383593
512-512-512,0.001,1e-05,80,6.993980884552002,7.048186721998185,0.040654378084637344
512-512-512,0.001,1e-05,80,7.362717151641846,6.992158560222993,0.09263964785471313
512-512-512,0.001,1e-05,80,6.775539875030518,6.638392204860737,0.03428691754244517
512-512-512,0.001,1e-05,80,7.255743980407715,7.205917994584608,0.012456496455776733
512-512-512,0.001,1e-05,80,7.857085227966309,7.579522134958277,0.06939077325200782
512-512-512,0.001,1e-05,80,8.075908660888672,7.731017998257353,0.08622266565782977
512-512-512,0.001,1e-05,80,6.468320369720459,6.436763161720427,0.007889302000007925
512-512-512,0.001,1e-05,80,8.530793190002441,8.23116225401545,0.07490773399674788
512-512-512,0.001,1e-05,80,6.868345260620117,6.527558998999696,0.08519656540510523
512-512-512,0.001,1e-05,80,7.791700839996338,7.81220408962263,0.015377437219718848
512-512-512,0.001,1e-05,80,7.5540337562561035,7.159594767618188,0.0986097471594789
512-512-512,0.001,1e-05,80,6.798094749450684,6.677817644268488,0.030069276295549008
512-512-512,0.001,1e-05,80,8.839523315429688,8.617326031643593,0.05554932094652365
512-512-512,0.001,1e-05,80,8.016626358032227,7.48383906631269,0.1331968229298841
512-512-512,0.001,1e-05,80,11.387042999267578,11.202254588217784,0.046197102762448594
512-512-512,0.001,1e-05,80,7.37103271484375,7.704339552193613,0.249980128012397
512-512-512,0.001,1e-05,80,7.828873157501221,8.035131858544883,0.1546940257827467
512-512-512,0.001,1e-05,80,5.680659770965576,5.369632019187338,0.07775693794455951
512-512-512,0.001,1e-05,80,8.037059783935547,7.544891267238754,0.12304212917419832
512-512-512,0.001,1e-05,80,8.407144546508789,8.501095053416673,0.07046288018091307
512-512-512,0.001,1e-05,80,8.716899871826172,8.542326126957406,0.04364343621719158
512-512-512,0.001,1e-05,80,5.893904685974121,5.4040575351450615,0.1224617877072649
512-512-512,0.001,1e-05,80,7.546166896820068,7.458497962935213,0.02191723347121388
512-512-512,0.001,1e-05,80,6.259159088134766,5.981063494593604,0.06952389838529038
512-512-512,0.001,1e-05,80,6.561679840087891,7.096247149115627,0.40092548177080256
512-512-512,0.001,1e-05,80,5.689901828765869,5.607305775492449,0.020649013318355003
512-512-512,0.001,1e-05,80,8.053194999694824,8.204011184158771,0.1131121383479603
512-512-512,0.001,1e-05,80,7.58324670791626,6.96692342122862,0.15408082167190984
512-512-512,0.001,1e-05,80,8.282442092895508,7.989734666072738,0.07317685670569252
512-512-512,0.001,1e-05,80,5.577467918395996,5.885173767895023,0.23077938712427026
512-512-512,0.001,1e-05,80,5.903486251831055,6.136996505210043,0.17513269003424092
512-512-512,0.001,1e-05,80,6.695959568023682,7.006545005905239,0.232939078411168
512-512-512,0.001,1e-05,80,7.429380416870117,6.966288725103236,0.11577292294172037
512-512-512,0.001,1e-05,80,7.0566205978393555,6.637716644960506,0.10472598821971246
512-512-512,0.001,1e-05,80,5.856595993041992,5.9285785965831295,0.05398695265585296
512-512-512,0.001,1e-05,80,7.941009521484375,7.551761771363803,0.097311937530143
512-512-512,0.001,1e-05,80,7.730776786804199,7.421769243876585,0.07725188573190356
512-512-512,0.001,1e-05,80,6.418841361999512,5.83140159583483,0.14685994154117044
512-512-512,0.001,1e-05,80,6.619373321533203,6.691874710469703,0.05437604170237487
512-512-512,0.001,1e-05,80,6.656324863433838,6.680389853323327,0.018048742417116515
512-512-512,0.001,1e-05,80,7.684739112854004,7.06345600561212,0.15532077681047096
512-512-512,0.001,1e-05,80,7.800332069396973,8.146611637157525,0.25970967582041427
512-512-512,0.001,1e-05,80,7.673623561859131,7.48083365675505,0.048197476276020224
512-512-512,0.001,1e-05,80,7.044252395629883,6.720158908708716,0.08102337173029173
512-512-512,0.001,1e-05,80,5.52348518371582,4.99480290426438,0.13217056986286013
512-512-512,0.001,1e-05,80,8.356575012207031,8.250335148413027,0.026559965948500963
512-512-512,0.001,1e-05,80,7.191641807556152,6.9848582087029465,0.05169589971330146
512-512-512,0.001,1e-05,80,4.978420257568359,4.934231876830374,0.011047095184496314
512-512-512,0.001,1e-05,80,6.741626739501953,6.375678875439397,0.09148696601563899
512-512-512,0.001,1e-05,80,7.235243320465088,6.616368345742903,0.15471874368054617
512-512-512,0.001,1e-05,80,10.289948463439941,9.676193582602316,0.1534387202094063
