sigma,lambda_reg,validation_mean_cost,is_best
0.5,1e-07,0.2057213067844092,False
0.5,1e-06,0.1755733430604015,False
0.5,1e-05,0.1278728579057454,False
1.0,1e-07,0.11309825414538363,False
1.0,1e-06,0.11081327900327279,False
1.0,1e-05,0.11058575739375899,False
2.0,1e-07,0.1077272914813689,True
2.0,1e-06,0.11170520137572441,False
2.0,1e-05,0.11181119973131579,False
