Selected_Bandwidth,Decision_Q,Demand_D,Operation_Cost
0.15,9.027036392673963,8.48479320086847,0.13556079795137332
0.15,7.016229822228857,6.536535943550136,0.11992346966968026
0.15,5.198589406836196,5.268665964359624,0.052557418142570755
0.15,7.651274445068943,6.679551130161142,0.24293082872695027
0.15,7.187537127694981,5.308351030874783,0.46979652420504947
0.15,8.588573722327588,8.496941170948555,0.022908137844758425
0.15,7.778765421626208,6.300609859322792,0.3695388905758539
0.15,7.738978056345686,7.035110014122716,0.1759670105557425
0.15,8.530849541168951,8.136335392424577,0.09862853718609355
0.15,7.4734712904928,6.607599531474244,0.21646793975463896
0.15,8.179310416044087,7.574400969137446,0.1512273617266604
0.15,8.46743339561255,8.692081875531711,0.16848635993937044
0.15,7.245667073626192,6.212111542447817,0.25838888279459393
0.15,7.311160412365338,6.7994506960209415,0.12792742908609922
0.15,6.866048049976018,7.4747013632114525,0.4564899849265758
0.15,8.291322517229121,7.525319986237293,0.19150063274795692
0.15,7.282012741315334,7.767578810420092,0.3641745518285684
0.15,5.746944382099541,5.599481739225436,0.03686566071852626
0.15,8.340798458125954,8.29559200629945,0.011301612956625906
0.15,7.596622721526344,6.490757149138272,0.27646639309701815
0.15,8.003648070925932,6.551440767839009,0.3630518257717308
0.15,7.822111362415488,7.751490418027952,0.01765523609688402
0.15,5.388175815239426,4.5282790908295585,0.2149741811024668
0.15,7.604245434090513,6.761634804334234,0.2106526574390697
0.15,8.245021834584064,8.224902818341942,0.005029754060530411
0.15,6.70491271586281,6.098679234456549,0.15155837035156527
0.15,8.761334427271438,9.443071650421372,0.5113029173624506
0.15,6.400392305335699,5.727852884066225,0.1681348553173685
0.15,8.599756100327339,9.542971279818351,0.7074113846182595
0.15,8.268800585410006,6.696407381495796,0.3930983009785525
0.15,8.797318774374727,8.015922639941753,0.19534903360824352
0.15,6.431865735138673,6.049841593956506,0.09550603529554169
0.15,8.6783932825574,7.564693949289263,0.27842483331703405
0.15,7.332713794616353,7.774134592412976,0.33106559834746685
0.15,9.240426269517169,7.971528760422184,0.3172243772737462
0.15,6.425193078352372,4.949164479445725,0.3690071497266618
0.15,9.229622116392472,9.235854077919802,0.004673971145497724
0.15,7.087869783656963,6.185934793730357,0.22548374748165156
0.15,8.659236664129919,7.711939776729301,0.2368242218501544
0.15,9.214760279660949,8.172631120215508,0.26053228986136023
0.15,6.7833144257239315,4.444507213911323,0.5847018029531521
0.15,9.427823628227358,9.180184085452822,0.06190988569363398
0.15,7.419541136476425,7.276473389537288,0.03576693673478437
0.15,7.326755299967794,6.718508181383652,0.1520617796460355
0.15,7.298904285308597,7.434396990609577,0.10161952897573534
0.15,7.827712082026061,6.426852461069256,0.3502149052392012
0.15,7.294878404640211,7.0302822478784455,0.06614903919044135
0.15,7.229774164731968,7.604052113438532,0.28070846152992246
0.15,8.716378685238114,7.858238049548046,0.21453515892251707
0.15,9.027036392673963,8.300201481700782,0.18170872774329538
0.15,8.764629259123927,8.15514339209524,0.15237146675717161
0.15,6.91046585185976,5.603530687856424,0.3267337910008339
0.15,6.319039374697989,6.465890076504207,0.11013802635466363
0.15,8.822930617021028,8.072991607380965,0.1874847524100156
0.15,6.244097050493122,6.284496862596255,0.030299859077349778
0.15,7.697783628165984,6.154450668739516,0.3858332398566171
0.15,8.113663277066488,8.380989929284233,0.200494989163309
0.15,8.041017236834566,8.726697949982073,0.5142605348606302
0.15,9.585508308985135,8.968251284431837,0.1543142561383246
0.15,7.826924660118917,6.881131744770579,0.23644822883708438
0.15,6.6229626320054935,5.17742064088172,0.3613854977809434
0.15,7.533904024416996,8.015453635892046,0.3611622086062871
0.15,4.552536580272627,3.2133875311767572,0.3347872622739675
0.15,6.150136969540311,5.600595373046396,0.1373853991234788
0.15,8.776109010301573,8.61595091651902,0.0400395234456381
0.15,7.800819747009207,6.61620984872515,0.29615247457101423
0.15,7.054960247244485,6.73189475951972,0.0807663719311913
0.15,8.964480756290394,9.068528847287457,0.07803606824779719
0.15,6.772408740734646,6.263140986754997,0.1273169384949122
0.15,8.118316903019128,7.544285099440492,0.14350795089465906
0.15,7.129814351948891,5.961641621872673,0.2920431825190546
0.15,6.9697755427226955,7.048186721998185,0.05880838445661718
0.15,8.064983875633393,6.992158560222993,0.2682063288526
0.15,8.017876157145214,6.638392204860737,0.34487098807111916
