Selected_Sigma,Selected_Lambda,Decision_Q,Demand_D,Operation_Cost
1.0,1e-06,6.598131080948253,7.064174354972201,0.3495324555179613
1.0,1e-06,6.180798780946315,5.943924749569761,0.05921850784413851
1.0,1e-06,7.466806613350414,7.692812265059535,0.16950423878184084
1.0,1e-06,7.082751699477335,7.202073646922884,0.08949146058416169
1.0,1e-06,8.762796309531444,8.541514174153923,0.05532053384438029
1.0,1e-06,6.688374910557147,6.473576014345815,0.053699724052832964
1.0,1e-06,10.898932117334162,10.43113874156987,0.11694834394107323
1.0,1e-06,8.333979858002781,8.1334758357352,0.05012600556689506
1.0,1e-06,7.555253889013953,7.7700065507875395,0.16106449633019015
1.0,1e-06,8.304950512375232,8.157893023977605,0.03676437209940664
1.0,1e-06,7.990264307785312,7.695009528502823,0.07381369482062228
1.0,1e-06,7.207150968966207,6.68023871148614,0.13172806437001672
1.0,1e-06,7.130180013596203,7.317899691798715,0.14078975865188426
1.0,1e-06,5.627145093772496,5.43793674680535,0.0473020867417866
1.0,1e-06,9.63358337675911,9.63922934257836,0.004234474364437357
1.0,1e-06,6.639232601628761,6.630906469407677,0.0020815330552710343
1.0,1e-06,6.857027614951066,6.481401727630046,0.09390647183025491
1.0,1e-06,8.872070760074228,8.800460757050212,0.01790250075600408
1.0,1e-06,7.002910316988366,7.001347558456641,0.0003906896329313181
1.0,1e-06,5.500580582250521,5.232706456612162,0.0669685314095898
1.0,1e-06,7.041870568471241,7.052635272348583,0.008073527908006639
1.0,1e-06,5.415181812417122,5.277379353509273,0.03445061472696209
1.0,1e-06,6.339939339043941,6.380121173478581,0.030136375825980055
1.0,1e-06,9.492735028156433,9.416423846241218,0.01907779547880395
1.0,1e-06,4.524755087647194,4.706341078792794,0.1361894933591996
1.0,1e-06,6.815672732071798,6.81574708592474,5.5765389706641244e-05
1.0,1e-06,6.527241647910905,6.034164736690254,0.1232692278051628
1.0,1e-06,8.163675642895626,8.207593940213343,0.032938722988287594
1.0,1e-06,4.729556793488995,5.36147149517394,0.4739360262637087
1.0,1e-06,7.5473993544349725,7.379800570927647,0.0418996958768314
1.0,1e-06,5.667220983845855,5.57840700270705,0.022203495284701225
1.0,1e-06,6.601231698136287,6.353496821674947,0.06193371911533507
1.0,1e-06,8.298866991484752,8.108783623345625,0.04752084203478191
1.0,1e-06,7.1432250893731855,7.24727222033417,0.07803534822073854
1.0,1e-06,6.054787541668962,6.050955842155967,0.0009579248782487504
1.0,1e-06,5.693854300552604,5.344301702670128,0.08738814947061901
1.0,1e-06,4.383769211134467,3.624828405244563,0.18973520147247602
1.0,1e-06,6.327493609080989,5.963370490897913,0.09103077954576899
1.0,1e-06,4.821242613880898,4.534419572760135,0.07170576028019071
1.0,1e-06,6.9224007671657946,6.8865942575265,0.008951627409823582
1.0,1e-06,5.320423664390324,4.720142719904257,0.1500702361215167
1.0,1e-06,7.425601856284066,7.088301008707681,0.08432521189409625
1.0,1e-06,7.30532600391199,6.653609582661477,0.16292910531262828
1.0,1e-06,7.028297097249004,6.933880203606002,0.023604223410750524
1.0,1e-06,7.081294662974741,6.613593536237915,0.11692528168420635
1.0,1e-06,4.404062519879109,4.181886037058364,0.05554412070518633
1.0,1e-06,6.580860175407323,6.235452155917471,0.08635200487246286
1.0,1e-06,8.634811044935699,8.119539633212755,0.128817852930736
1.0,1e-06,8.68890175983995,8.662631221792061,0.006567634511972287
1.0,1e-06,7.098766820307763,7.026658520696542,0.018027074902805307
1.0,1e-06,9.834445306169883,9.21175864501776,0.15567166528803078
1.0,1e-06,5.144777336350705,5.3633326255078515,0.16391646686785988
1.0,1e-06,4.331342791543256,4.218571327120436,0.028192866105704928
1.0,1e-06,6.603431385583745,6.358850069334593,0.06114532906228809
1.0,1e-06,5.171211444681929,4.514631979675383,0.1641448662516365
1.0,1e-06,7.761382812802328,7.864310131147733,0.07719548875905402
1.0,1e-06,4.680076603604956,4.304390095917974,0.09392162692174555
1.0,1e-06,6.771612652254225,6.50297354904979,0.06715977580110866
1.0,1e-06,10.888428570217853,10.340917166888836,0.13687785083225412
1.0,1e-06,9.461433215604169,9.13746538762,0.080991956996042
1.0,1e-06,8.939719121236758,8.689156240997265,0.06264072005987309
1.0,1e-06,6.459947040349705,6.470294811265302,0.007760828186698099
1.0,1e-06,6.196245027992118,6.004293805023268,0.04798780574221251
1.0,1e-06,6.848208854780509,6.091084930506478,0.18928098106850788
1.0,1e-06,8.077341492938551,7.666781609734267,0.10263997080107101
1.0,1e-06,6.114606729900993,5.888027030965479,0.0566449247338785
1.0,1e-06,8.175312626284013,8.05837749949226,0.029233781697938444
1.0,1e-06,8.160227320944239,7.865272773722761,0.07373863680536963
1.0,1e-06,8.226390067791558,7.750103024480882,0.1190717608276688
1.0,1e-06,8.247320299697535,7.930070955227563,0.079312336117493
1.0,1e-06,6.852959864906813,5.937445941172692,0.22887848093353025
1.0,1e-06,6.999429400765984,6.695562961497517,0.07596660981711678
1.0,1e-06,7.007353456870685,6.4370858380705815,0.14256690470002575
1.0,1e-06,9.115238626119448,8.701175434819813,0.1035157978249086
1.0,1e-06,6.743361943953534,6.491572493503653,0.06294736261247036
1.0,1e-06,3.6274983270149113,3.73699400161476,0.08212175594988658
1.0,1e-06,8.016240087268805,8.282586434648403,0.19975976053469813
1.0,1e-06,9.360447140356587,8.907684489105483,0.11319066281277612
1.0,1e-06,6.352411247675439,6.587863533197981,0.17658921414190654
1.0,1e-06,7.05040581942464,6.883174576557579,0.041807810716765204
1.0,1e-06,7.271345148411704,7.091014907626545,0.04508256019628987
1.0,1e-06,7.467668314447836,7.37366995917677,0.023499588817766703
1.0,1e-06,6.487357066861999,6.5240707262711775,0.027535244556883942
1.0,1e-06,5.984891945358694,5.620473469415371,0.09110461898583067
1.0,1e-06,4.546736209344189,4.511365016195323,0.008842798287216569
1.0,1e-06,7.498327374849643,6.886187182716316,0.15303504803333157
1.0,1e-06,4.908409786797001,4.491325482986057,0.10427107595273588
1.0,1e-06,7.143331875929956,6.147312133755155,0.2490049355437003
1.0,1e-06,8.424600439397757,8.030157315088655,0.09861078107727561
1.0,1e-06,9.23550394435122,9.549907081934744,0.23580235318764275
1.0,1e-06,7.1963459952326225,7.289518042356348,0.06987903534279405
1.0,1e-06,8.752674760478769,8.611417584358717,0.03531429403001285
1.0,1e-06,5.326674254760015,5.186793670512636,0.03497014606184479
1.0,1e-06,7.967195900372742,7.35245652801647,0.15368484308906805
