hidden_layers,lr,weight_decay,validation_mean_cost,is_best
512-512-512,0.001,0.0,0.08398075876574239,False
512-512-512,0.001,1e-05,0.08392971874059209,False
512-512-512,0.0005,0.0,0.08333210426616067,True
512-512-512,0.0005,1e-05,0.08344939804364036,False
