Selected_Hidden_Layers,Selected_LR,Selected_Weight_Decay,Selected_Update_Step,Decision_Q,Demand_D,Operation_Cost
512-512-512,0.001,1e-05,80,1.41718590259552,1.461331263123418,0.03310902039592356
512-512-512,0.001,1e-05,80,1.4059021472930908,1.1155864637759851,0.07257892087927642
512-512-512,0.001,1e-05,80,1.4307302236557007,1.642385145591383,0.1587411914517617
512-512-512,0.001,1e-05,80,0.8756589293479919,0.8758425935761968,0.00013774817115361215
512-512-512,0.001,1e-05,80,1.003668189048767,0.7869478530968607,0.05418008398797661
512-512-512,0.001,1e-05,80,1.8722792863845825,1.5406781766981166,0.08290027742161649
512-512-512,0.001,1e-05,80,1.3744945526123047,1.4829750674188449,0.08136038610490515
512-512-512,0.001,1e-05,80,2.5949084758758545,2.3203456532765467,0.06864070564982694
512-512-512,0.001,1e-05,80,1.3576489686965942,1.348930938991542,0.00217950742626305
512-512-512,0.001,1e-05,80,0.932062029838562,0.6480354719048018,0.07100663948344005
512-512-512,0.001,1e-05,80,1.6775888204574585,1.5092126074418828,0.042094053253893926
512-512-512,0.001,1e-05,80,2.4966018199920654,2.2894396157059047,0.05179055107154018
512-512-512,0.001,1e-05,80,1.3510750532150269,1.183056264808303,0.04200469710168098
512-512-512,0.001,1e-05,80,0.7760838270187378,0.8502390782511487,0.05561643842430822
512-512-512,0.001,1e-05,80,2.523202896118164,2.1057437465729354,0.10436478738630717
512-512-512,0.001,1e-05,80,1.2707463502883911,1.5760348942075788,0.22896640793939077
512-512-512,0.001,1e-05,80,1.0118072032928467,1.0580607941189857,0.03469019311960425
512-512-512,0.001,1e-05,80,1.58945894241333,0.7546722979402736,0.20869666111826413
512-512-512,0.001,1e-05,80,0.9358557462692261,0.5373994017149805,0.0996140861385614
512-512-512,0.001,1e-05,80,1.4789378643035889,0.7382728615352058,0.18516625069209577
512-512-512,0.001,1e-05,80,2.1137616634368896,1.9422748228063111,0.04287171015764463
512-512-512,0.001,1e-05,80,1.6913422346115112,1.3273690242520968,0.09099330258985361
512-512-512,0.001,1e-05,80,2.2301206588745117,1.4396670501777389,0.1976134021741932
512-512-512,0.001,1e-05,80,2.290283679962158,1.517519946101431,0.1931909334651818
512-512-512,0.001,1e-05,80,2.130467176437378,1.9648342737454565,0.04140822567298036
512-512-512,0.001,1e-05,80,3.182490587234497,3.0073956884669695,0.0437737246918819
512-512-512,0.001,1e-05,80,0.9886735081672668,0.4366429778177417,0.1380076325873813
512-512-512,0.001,1e-05,80,2.0387070178985596,1.7762083869792389,0.06562465772983017
512-512-512,0.001,1e-05,80,0.9340804815292358,0.7922867484320412,0.03544843327429867
512-512-512,0.001,1e-05,80,2.517971992492676,2.37813115395668,0.03496020963399893
512-512-512,0.001,1e-05,80,1.7356021404266357,1.7634570751875882,0.02089120107071435
512-512-512,0.001,1e-05,80,1.726487159729004,1.9132353461115668,0.14006113978692214
512-512-512,0.001,1e-05,80,1.3990569114685059,1.1201391119438235,0.06972944988117058
512-512-512,0.001,1e-05,80,1.7891358137130737,1.784484241607469,0.0011628930264011572
512-512-512,0.001,1e-05,80,1.5934841632843018,1.26146906181071,0.08300377536839793
512-512-512,0.001,1e-05,80,1.8898483514785767,1.446824817715849,0.11075588344068193
512-512-512,0.001,1e-05,80,2.0400726795196533,1.8083042688016848,0.057942102679492125
512-512-512,0.001,1e-05,80,3.146013021469116,3.347007581122591,0.1507459197401061
512-512-512,0.001,1e-05,80,1.9798789024353027,1.3138765052029522,0.16650059930808764
512-512-512,0.001,1e-05,80,1.744163155555725,1.5645129829144933,0.04491254316030796
512-512-512,0.001,1e-05,80,1.0594314336776733,0.7143335265930587,0.08627447677115366
512-512-512,0.001,1e-05,80,3.2558236122131348,3.1602773938887143,0.023886554581105113
512-512-512,0.001,1e-05,80,1.2818676233291626,1.2630333228361117,0.004708575123262726
512-512-512,0.001,1e-05,80,1.9071110486984253,1.789325848454098,0.029446300061081843
512-512-512,0.001,1e-05,80,2.6274526119232178,2.6345226039175715,0.005302493995765323
512-512-512,0.001,1e-05,80,2.5884478092193604,2.1353768087904315,0.11326775010723222
512-512-512,0.001,1e-05,80,1.5690275430679321,1.2350065514387552,0.08350524790729424
512-512-512,0.001,1e-05,80,0.8097307682037354,0.8093892969849363,8.536780469975414e-05
512-512-512,0.001,1e-05,80,1.116636872291565,0.8329149788537279,0.07093047335945926
512-512-512,0.001,1e-05,80,1.0517494678497314,1.4611277854085296,0.3070337381690986
512-512-512,0.001,1e-05,80,1.07681405544281,0.8336653591865142,0.06078717406407397
