Selected_Sigma,Selected_Lambda,Decision_Q,Demand_D,Operation_Cost
1.0,1e-05,1.4114103578608086,1.461331263123418,0.03744067894695713
1.0,1e-05,1.4249286667159833,1.1155864637759851,0.07733555073499954
1.0,1e-05,1.374651075880076,1.642385145591383,0.20080055228348015
1.0,1e-05,0.8975695352804034,0.8758425935761968,0.005431735426051659
1.0,1e-05,1.0376278783678279,0.7869478530968607,0.0626700063177418
1.0,1e-05,1.768870242881789,1.5406781766981166,0.05704801654591812
1.0,1e-05,1.3891103421826592,1.4829750674188449,0.07039854392713929
1.0,1e-05,2.5588571773128024,2.3203456532765467,0.05962788100906391
1.0,1e-05,1.3338277490611326,1.348930938991542,0.011327392447807116
1.0,1e-05,0.942273852116088,0.6480354719048018,0.07355959505282156
1.0,1e-05,1.5463182749332733,1.5092126074418828,0.009276416872847637
1.0,1e-05,2.5539150700420334,2.2894396157059047,0.06611886358403218
1.0,1e-05,1.4455604547954337,1.183056264808303,0.06562604749678269
1.0,1e-05,0.8006692546056353,0.8502390782511487,0.037177367734135075
1.0,1e-05,2.485312891466364,2.1057437465729354,0.0948922862233571
1.0,1e-05,1.3474045399914738,1.5760348942075788,0.17147276566207875
1.0,1e-05,0.9247179145628892,1.0580607941189857,0.10000715966707235
1.0,1e-05,1.5168586449311587,0.7546722979402736,0.1905465867477213
1.0,1e-05,0.9630985979527984,0.5373994017149805,0.10642479905945448
1.0,1e-05,1.4842063956950549,0.7382728615352058,0.18648338353996227
1.0,1e-05,2.0295155966995515,1.9422748228063111,0.02181019347331009
1.0,1e-05,1.6336576478958267,1.3273690242520968,0.07657215591093247
1.0,1e-05,2.13351245759777,1.4396670501777389,0.17346135185500777
1.0,1e-05,2.2842087827385402,1.517519946101431,0.1916722091592773
1.0,1e-05,2.1016075683437534,1.9648342737454565,0.034193323649574225
1.0,1e-05,3.1793050005657744,3.0073956884669695,0.04297732802470122
1.0,1e-05,1.0369139036627004,0.4366429778177417,0.1500677314612397
1.0,1e-05,2.010423392183942,1.7762083869792389,0.058553751301175794
1.0,1e-05,0.9262212254639852,0.7922867484320412,0.033483619257986014
1.0,1e-05,2.536741911335897,2.37813115395668,0.03965268934480426
1.0,1e-05,1.6982249633711959,1.7634570751875882,0.04892408386229424
1.0,1e-05,1.6638293188328799,1.9132353461115668,0.18705452045901516
1.0,1e-05,1.3606196936801038,1.1201391119438235,0.06012014543407007
1.0,1e-05,1.8818193038871094,1.784484241607469,0.02433376556991007
1.0,1e-05,1.7037656858331691,1.26146906181071,0.11057415600561477
1.0,1e-05,1.8131758189485074,1.446824817715849,0.09158775030816463
1.0,1e-05,1.9638007113392741,1.8083042688016848,0.03887411063439733
1.0,1e-05,3.1654093446619695,3.347007581122591,0.1361986773454661
1.0,1e-05,1.8508521610825954,1.3138765052029522,0.1342439139699108
1.0,1e-05,1.6249267842433932,1.5645129829144933,0.015103450332224988
1.0,1e-05,1.0041422797280837,0.7143335265930587,0.07245218828375624
