Selected_Hidden_Layers,Selected_LR,Selected_Weight_Decay,Selected_Update_Step,Decision_Q,Demand_D,Operation_Cost
512-512-512,0.0005,0.0,80,1.5776770114898682,1.292055530578852,0.07140537022775406
512-512-512,0.0005,0.0,80,1.133692741394043,1.0149962671365147,0.029674118564382068
512-512-512,0.0005,0.0,80,1.233766794204712,0.734316827432631,0.12486249169302022
512-512-512,0.0005,0.0,80,1.8335434198379517,1.729328989993164,0.026053607461196893
512-512-512,0.0005,0.0,80,1.7716361284255981,1.989215563858024,0.1631845765743194
512-512-512,0.0005,0.0,80,0.8601296544075012,0.5245262979575964,0.0839008391124762
512-512-512,0.0005,0.0,80,1.3469727039337158,1.178655062303427,0.04207941040757218
512-512-512,0.0005,0.0,80,1.1339930295944214,1.1590352488038522,0.01878166440707313
512-512-512,0.0005,0.0,80,0.8483310341835022,0.9064992516884748,0.04362616312872944
512-512-512,0.0005,0.0,80,3.370589017868042,3.2574095178208995,0.028294875011785625
512-512-512,0.0005,0.0,80,2.266124725341797,2.4753584652123974,0.15692530490295042
512-512-512,0.0005,0.0,80,2.915787696838379,2.943955984594764,0.021126215817288685
512-512-512,0.0005,0.0,80,1.3785083293914795,1.165503558738385,0.053251192663273605
512-512-512,0.0005,0.0,80,0.8672595024108887,0.7183687471834623,0.037222688806856585
512-512-512,0.0005,0.0,80,1.9627028703689575,1.7709469443927766,0.04793898149404524
512-512-512,0.0005,0.0,80,2.4896857738494873,2.301685823394762,0.04699998761368129
512-512-512,0.0005,0.0,80,1.214287281036377,1.0976849879186443,0.029150573279433156
512-512-512,0.0005,0.0,80,1.051893949508667,0.761742298663156,0.07253791271137774
512-512-512,0.0005,0.0,80,1.3557250499725342,1.1370029137810498,0.0546805340478711
512-512-512,0.0005,0.0,80,1.7580301761627197,1.3813887572164842,0.09416035473655887
512-512-512,0.0005,0.0,80,1.7861061096191406,1.058773644639307,0.1818331162449584
512-512-512,0.0005,0.0,80,0.8358630537986755,0.4563868706907709,0.09486904577697616
512-512-512,0.0005,0.0,80,1.7205231189727783,1.4874844257882494,0.05825967329613224
512-512-512,0.0005,0.0,80,1.49851655960083,1.5374664616745133,0.029212426555262405
512-512-512,0.0005,0.0,80,2.0338737964630127,1.4518735201776605,0.14550006907133806
512-512-512,0.0005,0.0,80,1.7249913215637207,1.758770480877372,0.02533436948523854
512-512-512,0.0005,0.0,80,1.3246874809265137,1.5360031608482725,0.1584867599413191
512-512-512,0.0005,0.0,80,1.1459883451461792,0.642340911433385,0.12591185842819855
512-512-512,0.0005,0.0,80,1.3497257232666016,1.137349131993334,0.053094147818316895
512-512-512,0.0005,0.0,80,2.820340871810913,2.743545521669701,0.019198837535303048
512-512-512,0.0005,0.0,80,2.338759422302246,1.8394397468177337,0.1248299188711281
512-512-512,0.0005,0.0,80,1.0498721599578857,1.2638668956191623,0.16049605174595744
512-512-512,0.0005,0.0,80,1.9179315567016602,1.8890739290054157,0.007214406924061112
512-512-512,0.0005,0.0,80,1.1624376773834229,1.2337060926151011,0.053451311423758696
512-512-512,0.0005,0.0,80,1.1494084596633911,1.0883916900555426,0.01525419240196213
512-512-512,0.0005,0.0,80,1.562074065208435,1.4943435108076484,0.01693263860019667
512-512-512,0.0005,0.0,80,1.5668773651123047,1.5596817011732833,0.0017989159847553449
512-512-512,0.0005,0.0,80,1.5122978687286377,1.1424328923879323,0.09246624408517634
512-512-512,0.0005,0.0,80,1.1279916763305664,0.7815780638266154,0.08660340312598774
512-512-512,0.0005,0.0,80,0.7691190838813782,0.410541051469257,0.08964450810303029
512-512-512,0.0005,0.0,80,1.7961938381195068,1.8037982982596843,0.005703345105133095
512-512-512,0.0005,0.0,80,2.4028379917144775,2.3841002069916346,0.004684446180710733
512-512-512,0.0005,0.0,80,2.081221580505371,1.750019062028433,0.08280062961923451
512-512-512,0.0005,0.0,80,1.5226279497146606,1.8194903838640863,0.22264682561206928
512-512-512,0.0005,0.0,80,1.558975100517273,1.572697166355446,0.01029154937862986
512-512-512,0.0005,0.0,80,0.9586097598075867,0.8230158923118236,0.03389846687394077
512-512-512,0.0005,0.0,80,2.571859836578369,2.2536836496626025,0.07954404672894166
512-512-512,0.0005,0.0,80,1.6835559606552124,1.3705228973240804,0.078258265832783
512-512-512,0.0005,0.0,80,0.8385985493659973,0.7265394170445482,0.028014783080362288
512-512-512,0.0005,0.0,80,2.3986382484436035,1.966392756174937,0.10806137306716662
512-512-512,0.0005,0.0,80,1.412529706954956,1.19517268929539,0.054339254414891514
512-512-512,0.0005,0.0,80,2.681647539138794,2.3628922529621836,0.07968882154415258
512-512-512,0.0005,0.0,80,0.8367893099784851,0.7275404809222799,0.027312207264051314
512-512-512,0.0005,0.0,80,2.1151304244995117,1.5926179013528785,0.1306281307866583
512-512-512,0.0005,0.0,80,0.9626622200012207,0.848612989967414,0.028512307508451684
512-512-512,0.0005,0.0,80,2.050222635269165,2.157467579017567,0.08043370781130132
512-512-512,0.0005,0.0,80,1.3494380712509155,1.1074209956614582,0.06050426889736432
512-512-512,0.0005,0.0,80,2.2853198051452637,2.2720497766765853,0.0033175071171696047
512-512-512,0.0005,0.0,80,2.3885180950164795,2.370804190591733,0.004428476106186574
512-512-512,0.0005,0.0,80,1.891371488571167,1.811926766396819,0.019861180543586987
