Selected_Hidden_Layers,Selected_LR,Selected_Weight_Decay,Selected_Update_Step,Decision_Q,Demand_D,Operation_Cost
512-512-512,0.001,0.0,80,7.873076915740967,8.036337075985323,0.12244512018326681
512-512-512,0.001,0.0,80,8.089244842529297,7.711162763247784,0.09452051982037823
512-512-512,0.001,0.0,80,8.29870891571045,7.988013448705502,0.07767386675123689
512-512-512,0.001,0.0,80,9.096323013305664,9.47411729811317,0.283345713605629
512-512-512,0.001,0.0,80,8.193187713623047,7.992022013652962,0.05029142499252126
512-512-512,0.001,0.0,80,8.236082077026367,7.666636840835888,0.1423613090476199
512-512-512,0.001,0.0,80,8.779159545898438,9.165085304407784,0.2894443188820097
512-512-512,0.001,0.0,80,7.218338489532471,7.409256727125377,0.14318867819467962
512-512-512,0.001,0.0,80,7.78836727142334,7.54085588260767,0.061877847203917424
512-512-512,0.001,0.0,80,6.317718982696533,6.375440804335127,0.04329136622894514
512-512-512,0.001,0.0,80,9.273962020874023,9.157606386844916,0.029088908507276745
512-512-512,0.001,0.0,80,8.416275978088379,7.827912881893442,0.14709077404873416
512-512-512,0.001,0.0,80,8.190215110778809,8.386839035306547,0.14746794339580394
512-512-512,0.001,0.0,80,6.7561445236206055,7.062338846093933,0.22964574185499576
512-512-512,0.001,0.0,80,6.194164276123047,6.722656905079212,0.396369471717124
512-512-512,0.001,0.0,80,7.923026084899902,7.726255293589491,0.04919269782760294
512-512-512,0.001,0.0,80,6.197004318237305,5.73306110915202,0.11598580227132116
512-512-512,0.001,0.0,80,8.386399269104004,7.8135855821744835,0.1432034217323801
512-512-512,0.001,0.0,80,10.687862396240234,11.065697410289513,0.28337626053695875
512-512-512,0.001,0.0,80,6.2987565994262695,6.77380591071331,0.35628698346528065
512-512-512,0.001,0.0,80,6.414169788360596,6.153619644662324,0.06513753592456784
512-512-512,0.001,0.0,80,6.597243309020996,6.6456966193080165,0.036339982715265284
512-512-512,0.001,0.0,80,7.1332926750183105,7.280101562687577,0.1101066657519496
512-512-512,0.001,0.0,80,7.18727970123291,7.273682960878672,0.06480244473432117
512-512-512,0.001,0.0,80,5.428031921386719,4.680171549815837,0.18696509289272045
512-512-512,0.001,0.0,80,4.335789680480957,4.56436957496585,0.17143492086366985
512-512-512,0.001,0.0,80,6.757937431335449,7.003101675768571,0.18387318332484126
