Decision_Q,Demand_D,Operation_Cost,Mu_Pred,Sigma_Pred,Residual_Sum
8.351849863333298,8.036337075985323,0.07887819683699382,8.009684592209307,0.5926476341723307,2901.0624682505113
8.483805036694728,7.711162763247784,0.1931605683617359,8.1682573512267,0.5465446234413873,2901.0624682505113
9.407675834977596,7.988013448705502,0.3549155965680235,9.058748041508954,0.6043606664605886,2901.0624682505113
8.625338402740404,9.47411729811317,0.6365841715295741,8.309088104267438,0.5477615848639988,2901.0624682505113
7.883623875555624,7.992022013652962,0.08129860357300367,7.496930900105406,0.6697718804097614,2901.0624682505113
7.5709421845823215,7.666636840835888,0.07177099219017458,7.202813654250356,0.6376173182506254,2901.0624682505113
9.28753700755958,9.165085304407784,0.030612925787949052,8.912437244728668,0.6496918471301742,2901.0624682505113
6.423020087081299,7.409256727125377,0.7396774800330586,6.1080010041810535,0.5456290569369772,2901.0624682505113
8.894991998639844,7.54085588260767,0.3385340290080434,8.54074551393577,0.6135729099101268,2901.0624682505113
5.949122098129973,6.375440804335127,0.3197390296538656,5.609923487264675,0.5875092278754807,2901.0624682505113
8.407950945949786,9.157606386844916,0.5622415806713481,8.040190520615525,0.6369797416920792,2901.0624682505113
8.02896636698137,7.827912881893442,0.050263371271981994,7.672858614287131,0.6167967206355963,2901.0624682505113
8.856411391295495,8.386839035306547,0.117393088997237,8.510035770729836,0.5999401733229199,2901.0624682505113
8.870721550386685,7.062338846093933,0.452095676073188,8.497493594386958,0.6464497825966086,2901.0624682505113
7.5212565224938315,6.722656905079212,0.19964990435365482,7.174330583813051,0.6008933522586372,2901.0624682505113
6.966190141130113,7.726255293589491,0.5700488643445332,6.62968700821733,0.5828405231110436,2901.0624682505113
5.92242423980476,5.73306110915202,0.04734078266318509,5.592528065314477,0.5713969354397781,2901.0624682505113
7.06317002575076,7.8135855821744835,0.5628116673177925,6.712847748472418,0.6067759832693196,2901.0624682505113
10.00215286402106,11.065697410289513,0.7976584097013397,9.66065826437507,0.5914859970972496,2901.0624682505113
5.61508105396948,6.77380591071331,0.8690436425578725,5.2925613094001,0.5586205840383032,2901.0624682505113
