hidden_layers,lr,weight_decay,validation_mean_cost,is_best
512-512-512,0.001,0.0,0.09820014500396143,True
512-512-512,0.001,1e-05,0.10221919515592322,False
512-512-512,0.0005,0.0,0.09911449876308609,False
512-512-512,0.0005,1e-05,0.10132722443590961,False
