Decision_Q,Demand_D,Operation_Cost,Mu_Pred,Sigma_Pred,Residual_Sum
1.2067500745518318,0.7289958425138237,0.11943855800950204,1.0604587519411215,0.25338400346820017,733.1953510318956
2.132449362097325,2.117918577250118,0.0036326962118017336,1.984477738816977,0.2562943696000041,733.1953510318956
1.9154000170738192,1.8535303060751973,0.015467427749655482,1.7697200387968768,0.2523251240211949,733.1953510318956
1.5148425157971916,1.6214256066485504,0.07993731813851906,1.3665466947556755,0.25685589659404784,733.1953510318956
2.014452976531862,1.8943539295739171,0.030024761739486205,1.8653354304866574,0.2582791660502859,733.1953510318956
1.9184742008912083,1.3548937172135531,0.1408951209194138,1.771405877369249,0.25472980852401056,733.1953510318956
1.6211724703671657,1.5519271600120397,0.01731132758878151,1.4752597471714561,0.25272825004570304,733.1953510318956
1.8196189891513403,1.4448298960631174,0.09369727327205574,1.6740993355095366,0.25204743360742965,733.1953510318956
1.4731553713870746,1.4331259477202667,0.010007355916701988,1.3279353675101853,0.25152842499012157,733.1953510318956
1.437790542632593,1.9666345103602396,0.396632975795735,1.292279242962335,0.25203296410426695,733.1953510318956
1.1658242792662654,0.9064175178022432,0.06485169036600555,1.0199303053145867,0.2526957754024377,733.1953510318956
1.158118143236599,1.3494490008765103,0.14349814322993348,1.0113995211724771,0.25412410783155504,733.1953510318956
1.9490275045458116,2.3856484892407295,0.3274657385211884,1.8036701116217158,0.2517663898002868,733.1953510318956
1.161694231492659,1.0738079157657086,0.021971578931737623,1.0142486776900366,0.25538319053627273,733.1953510318956
2.1119365029104666,2.037936311445553,0.018500047866228386,1.9651574865456838,0.2542287138287879,733.1953510318956
1.2966015724164577,1.2018398674546664,0.023690426240447815,1.1492709288235392,0.25518416021475687,733.1953510318956
1.2395388861153818,0.5462032619961951,0.17333390602979667,1.0937952719860424,0.2524353445507291,733.1953510318956
1.8702212805965526,1.9256626412849736,0.041581020516315736,1.7235376336489796,0.25406352915269165,733.1953510318956
1.7373293341613847,1.7754114304836854,0.028561572241725564,1.5890350555647348,0.25685322500117175,733.1953510318956
1.435897483792639,2.217198713358077,0.5859759221740783,1.285811200047732,0.2599570689653778,733.1953510318956
1.554129661891091,1.6788013187271584,0.09350374262705063,1.4084404427491641,0.2523411296688536,733.1953510318956
1.957012338855532,2.114734677366344,0.11829175388310881,1.8115658512263355,0.2519207063562067,733.1953510318956
1.4073706926963225,1.0354843762190291,0.09297157911932336,1.263075116773734,0.24992726880533572,733.1953510318956
1.945285407940814,1.715819716971437,0.057366422742344214,1.7988658525851406,0.25360610909766995,733.1953510318956
1.1351723481165175,0.8112879616132271,0.08097109662582258,0.9895661187631412,0.2521973871385747,733.1953510318956
1.5086270577685261,0.7788162569378074,0.18245270020767967,1.361813078558185,0.25428927125367157,733.1953510318956
1.6138764913856392,1.174143270000032,0.10993330534640178,1.4687775344472622,0.25131876554251753,733.1953510318956
1.8727164144145565,0.9881212616592536,0.22114878818882572,1.7262425822135459,0.2537001193514687,733.1953510318956
1.8886553064996388,2.550230024185659,0.49618103826451504,1.7448865278480161,0.24901482916673431,733.1953510318956
1.093522231435303,0.7745454113878584,0.07974420501186116,0.9476835267520853,0.25260004622136606,733.1953510318956
1.5854375214613123,2.0429535586443643,0.343137027887289,1.4416425671496826,0.2490601667397882,733.1953510318956
1.6473997879409032,1.5785553911983718,0.01721109918563285,1.50141863055912,0.25284678153295737,733.1953510318956
1.379766033462706,0.837274925939408,0.1356227768808245,1.2322536031902245,0.2554990239798995,733.1953510318956
1.288054495842627,1.0956233689336623,0.04810778172724117,1.1436833120309766,0.25005822551064383,733.1953510318956
1.143322458440877,1.8541785383292884,0.5331420599163086,0.9938692728210824,0.2588605108465067,733.1953510318956
1.8087604644131117,1.7426892731921817,0.016517797805232493,1.6597672387330293,0.25806383686147855,733.1953510318956
1.29037037560516,1.6805991620473617,0.2926715898316512,1.1446015808205006,0.25247895872511145,733.1953510318956
1.4692545640392582,0.6110773409584391,0.21454430577020478,1.3217269430199488,0.2555253351252103,733.1953510318956
1.3101387991786289,1.073354172243273,0.05919615673383899,1.1640541290542148,0.25302607086242457,733.1953510318956
2.0684876436268924,0.9421420101997368,0.28158640835678894,1.919757658313473,0.25760789117181526,733.1953510318956
1.4648418666885694,2.12330090964078,0.49384428221415794,1.3219873356880862,0.24743130578426015,733.1953510318956
1.373610092512509,0.6079877038220414,0.1914055971726169,1.2267353409865547,0.2543945319920072,733.1953510318956
1.6594238947418856,0.8876204902060181,0.19295085113396687,1.5132885354007737,0.25311386716114076,733.1953510318956
1.9902948418724304,1.0826520443464882,0.22691069938148556,1.843782849534165,0.2537662146480177,733.1953510318956
1.7405027714741812,1.5697932444306593,0.042677381760880484,1.5927384616032532,0.25593529224179856,733.1953510318956
2.084736718217561,2.338003420623763,0.18995002680465156,1.9352413522214247,0.25893356940141277,733.1953510318956
