Selected_Lambda,Decision_Q,Demand_D,Operation_Cost,Coef_Intercept,Coef_Feat_1,Coef_Feat_2,Coef_Feat_3,Coef_Feat_4
0.0,1.3280600889996894,0.7289958425138237,0.14976606162146644,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,2.2624348045925013,2.117918577250118,0.03612905683559586,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,2.0287354124057893,1.8535303060751973,0.043801276582647986,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.6536354471940142,1.6214256066485504,0.008052460136365958,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,2.14121895600997,1.8943539295739171,0.061716256609013254,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,2.018959814952013,1.3548937172135531,0.166016524434615,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.7428996812823068,1.5519271600120397,0.04774313031756677,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.9277810934191364,1.4448298960631174,0.12073779933900475,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.5856440399754097,1.4331259477202667,0.03812952306378575,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.5561501550206756,1.9666345103602396,0.30786326650467305,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.2821101859339024,0.9064175178022432,0.09392316703291478,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.2910560327163383,1.3494490008765103,0.043794726120129024,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,2.058930931694315,2.3856484892407295,0.24503816815981072,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.30345571306345,1.0738079157657086,0.057411949324435385,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,2.214860363865023,2.037936311445553,0.044231013104867434,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.4266724595669884,1.2018398674546664,0.056208148028080496,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.3557679998539582,0.5462032619961951,0.2023911844644408,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.9800016187597864,1.9256626412849736,0.013584744368703217,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.877964006634456,1.7754114304836854,0.025638144037692656,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.5740515382879083,2.217198713358077,0.4823603813026264,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.6644042129466599,1.6788013187271584,0.010797829335373932,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,2.058509449126159,2.114734677366344,0.04216892118013871,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.510809857963452,1.0354843762190291,0.1188313704361057,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,2.0553212588119076,1.715819716971437,0.08487538546011764,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.2580468860610994,0.8112879616132271,0.11168973111196806,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.637244458383616,0.7788162569378074,0.21460705036145217,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.7234048639042123,1.174143270000032,0.13731539847604507,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.9755415400541099,0.9881212616592536,0.24685506959871406,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.9868894878271333,2.550230024185659,0.42250540226889416,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.2038688428712176,0.7745454113878584,0.10733085787083982,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.6862384621378657,2.0429535586443643,0.267536322379874,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.7710757721149093,1.5785553911983718,0.04813009522913436,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.511445908027821,0.837274925939408,0.16854274552210327,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.3866349843912558,1.0956233689336623,0.07275290386439837,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.286977298548034,1.8541785383292884,0.4254009298359407,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.9297038819306298,1.7426892731921817,0.04675365218461203,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.4075849247848145,1.6805991620473617,0.20476067794691044,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.6104180842292148,0.6110773409584391,0.24983518581769393,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.432531587223476,1.073354172243273,0.08979435374505079,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,2.199476948505059,0.9421420101997368,0.3143337345763306,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.5649486571603572,2.12330090964078,0.41876418936031706,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.4971743025663153,0.6079877038220414,0.2222966496860685,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.787988199542247,0.8876204902060181,0.22509192733405725,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,2.0981959751878687,1.0826520443464882,0.2538859827103451,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.8617568533393876,1.5697932444306593,0.07299090222718208,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,2.2104502940056694,2.338003420623763,0.0956648449635702,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.8005468463005418,1.59592574829364,0.05115527450172547,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.456919029631215,1.034811033945382,0.10552699892145823,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,2.0554546730935264,1.6152372172605225,0.11005436395825097,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.713672291550989,1.216495431745908,0.12429421495127024,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.4072946240731266,0.5612999871482326,0.2114986592312235,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.7262388409938905,1.881511413871356,0.11645442965809916,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.510454640334626,1.1802142015914714,0.08256010968578864,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,2.0379670425201994,1.3487875889126837,0.17229486340187894,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.9754912093673545,0.7811675897959687,0.29858090489284644,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.5226530836876198,2.4318851188190105,0.6819240263485431,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.9519368936810184,1.7475619610676842,0.05109373315333354,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,2.18032005100047,1.9250854305452136,0.06380865511381412,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.8090586997542386,0.6990196161215018,0.2775097709081842,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.6030238772795566,0.9837446364808744,0.15481981019967056,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.8781760592292756,1.291424926441446,0.1466877831969574,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.6271365196693637,0.8173350922157784,0.20245035686339632,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.6661119961589659,1.304066221543717,0.0905114436538122,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.5039002500624918,1.2327855536114365,0.06777867411276384,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.1827917275447595,2.0056348506099435,0.617132342298888,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,1.827587202128699,1.583993172466542,0.06089850741553926,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
0.0,2.1734116112798403,2.0484485650185387,0.031240761565325403,1.2510649454056322,3.807836433386211,0.00899729522547347,-0.2718785401824262,-0.09925712249461122
