hidden_layers,lr,weight_decay,validation_mean_cost,is_best
512-512-512,0.001,0.0,0.10150472351438206,False
512-512-512,0.001,1e-05,0.0981686868500348,True
512-512-512,0.0005,0.0,0.10263355343310522,False
512-512-512,0.0005,1e-05,0.10114833052030604,False
