sigma,lambda_reg,validation_mean_cost,is_best
0.5,1e-07,0.22277234934098633,False
0.5,1e-06,0.18192141694501449,False
0.5,1e-05,0.13509456065501774,False
1.0,1e-07,0.13176143806341742,False
1.0,1e-06,0.11283897252879381,False
1.0,1e-05,0.10726639582369808,False
2.0,1e-07,0.10954162604976583,False
2.0,1e-06,0.10107231330765581,False
2.0,1e-05,0.09558682728264242,True
