timestamp,model_name,scenario,test_samples,total_test_runtime_sec,per_sample_runtime_sec
2026-06-19 21:27:30,DNN (Deep_NV),a,1000,1.111422061920166,0.001111422061920166
2026-06-19 21:27:31,Est-Opt (OLS),a,1000,0.0012459754943847656,1.2459754943847656e-06
2026-06-19 21:27:34,KO,a,1000,0.11738705635070801,0.00011738705635070801
2026-06-19 21:36:14,KPQR,a,1000,87.21912407875061,0.08721912407875061
2026-06-19 21:36:16,LinearModel,a,1000,8.106231689453125e-06,8.106231689453126e-09
2026-06-19 21:36:17,LinearModel-L1,a,1000,8.344650268554688e-06,8.344650268554688e-09
2026-06-19 21:36:18,LinearModel-L2,a,1000,8.821487426757812e-06,8.821487426757812e-09
2026-06-19 21:36:19,Oracle,a,1000,0.0012938976287841797,1.2938976287841796e-06
2026-06-19 21:38:46,RKHS,a,1000,8.654973268508911,0.008654973268508911
2026-06-19 21:38:48,SAA,a,1000,0.029021024703979492,2.9021024703979492e-05
2026-06-19 21:38:49,Minimax (Scarf),a,1000,0.0011551380157470703,1.1551380157470703e-06
