Selected_Sigma,Selected_Lambda,Decision_Q,Demand_D,Operation_Cost
0.5,1e-07,1.362037071298856,0.9419704900334792,0.10501664531634422
0.5,1e-07,2.636491339883547,2.762391131811995,0.0944248439463361
0.5,1e-07,1.8221584959378092,1.5143522441965664,0.07695156293531069
0.5,1e-07,0.5691798219941786,0.0753888001484628,0.12344775546142894
0.5,1e-07,2.1403056296951455,1.9852635730503552,0.03876051416119758
0.5,1e-07,2.1750267902270624,2.4988019214475545,0.24283134841536913
0.5,1e-07,2.802187076470708,2.5470224953057983,0.06379114529122742
0.5,1e-07,1.4908869572671541,1.6646422776171708,0.13031649026251246
0.5,1e-07,1.1806827162979152,1.0547075987794687,0.03149377937961162
0.5,1e-07,1.972870413392672,1.3979108989086486,0.14373987862100585
0.5,1e-07,1.7602618285361982,1.6468407610229296,0.02835526687831713
0.5,1e-07,0.874093613677517,0.2532269482849671,0.15521666634813747
0.5,1e-07,1.2567146246741387,0.50058445593249,0.18903254218541218
0.5,1e-07,1.6552162653439102,1.7628233541975808,0.08070531664025299
0.5,1e-07,1.3698770940855693,0.8082328022594077,0.1404110729565404
0.5,1e-07,2.5441972537169835,2.7862904080905633,0.18156986578018486
0.5,1e-07,1.699554904575928,1.4334607712880598,0.06652353332196703
0.5,1e-07,2.4003974451045575,2.362554791507301,0.009460663399314173
0.5,1e-07,0.9964874913176196,1.068866308761856,0.054284113083177266
0.5,1e-07,1.8479999718198032,1.985726571064523,0.1032949494335399
0.5,1e-07,1.0217815669943129,0.6430830943878235,0.09467461815162234
0.5,1e-07,1.5393825103941552,1.0504055341490393,0.12224424406127898
0.5,1e-07,0.9229880814770319,0.6594173784782943,0.06589267574968441
0.5,1e-07,2.235166643502347,1.9534804351306625,0.07042155209292111
0.5,1e-07,2.4530595121545113,1.6725484125870658,0.1951277748918614
0.5,1e-07,2.767071278020846,2.7979207265767028,0.023137086416892605
0.5,1e-07,1.3499726839349029,1.1508354408218826,0.04978431077825507
0.5,1e-07,2.4548993334951,1.9195020769924036,0.13384931412567413
0.5,1e-07,1.0561285209618414,0.7484955423010906,0.0769082446651877
0.5,1e-07,1.8100470403917293,1.5144216388544098,0.07390635038432986
0.5,1e-07,1.7249093816265928,1.741083786585837,0.012130803719433203
0.5,1e-07,1.5352089288088693,1.4986316484121625,0.009144320099176706
0.5,1e-07,0.936280774787909,1.0385099792288524,0.07667190333070747
0.5,1e-07,1.029199991441954,0.7892899875834367,0.05997750096462934
0.5,1e-07,2.7290769106624513,2.7069605587576664,0.005529087976196223
0.5,1e-07,1.7918763587448006,1.9970215208455024,0.1538588715755264
0.5,1e-07,1.6609101214115185,1.3192554098920126,0.08541367787987647
0.5,1e-07,1.5394551389117193,0.8847842295647499,0.16366772733674234
0.5,1e-07,1.6434285209949688,1.453311775421844,0.047529186393281186
0.5,1e-07,1.75515973440627,1.513275005774286,0.06047118215799596
0.5,1e-07,1.148956095837891,0.9250795326476138,0.05596914079756932
0.5,1e-07,1.6567081716105714,1.7097196826716146,0.039758633295782386
0.5,1e-07,1.5834510011325889,1.2542113366458807,0.08230991612167704
0.5,1e-07,1.033540479378877,0.7214341156481949,0.0780265909326705
0.5,1e-07,1.3573450238533606,1.2063315395824783,0.03775337106772059
0.5,1e-07,1.5845484671195855,1.7271517163798462,0.10695243694519552
0.5,1e-07,1.399975469749757,1.474849929371866,0.05615584471658169
0.5,1e-07,1.440477257549547,1.304714316423479,0.03394073528151703
0.5,1e-07,1.8725795992829817,2.304194036522466,0.3237108279296131
0.5,1e-07,1.6563897334746092,1.1061453296134374,0.13756110096529295
0.5,1e-07,1.4437634970536373,1.5261237066796751,0.06177015721952839
0.5,1e-07,1.8390110995624487,1.6324432479418407,0.051641962905151995
0.5,1e-07,1.8796891971116332,2.2653169430283295,0.28922080943752226
0.5,1e-07,1.9891167962174712,1.9640568935197065,0.0062649756744411755
0.5,1e-07,0.8556130255421068,1.0622005720777006,0.1549406599016953
0.5,1e-07,1.3843543664984368,0.8525173304244242,0.13295925901850314
0.5,1e-07,0.8556584103131022,0.3059507435357674,0.1374269166943337
0.5,1e-07,2.1963760418189118,2.228557827882509,0.024136339547698005
0.5,1e-07,1.1701923417047633,1.185401042014426,0.011406525232247111
0.5,1e-07,1.3100434635685678,0.7987181765834207,0.12783132174628678
0.5,1e-07,1.1613361912070927,0.7907126235637447,0.09265589191083701
0.5,1e-07,1.4643762978507002,1.502013157650354,0.028227644849740274
0.5,1e-07,1.141788062260709,0.7622276030710333,0.09489011479741893
0.5,1e-07,1.3200084594086903,1.2269115023900383,0.023274239254662987
0.5,1e-07,1.430185761906642,1.3435971232419142,0.02164715966618197
0.5,1e-07,1.5091819116546077,1.0123382346856982,0.12421091924222738
0.5,1e-07,1.0628852044329182,1.623243585330294,0.42026878567303183
0.5,1e-07,1.616122932048444,0.9874068238357248,0.15717902705317982
0.5,1e-07,1.5335503769732923,1.6809695218462144,0.11056435865469155
0.5,1e-07,1.5466522447708895,1.4651146350839894,0.020384402421725012
0.5,1e-07,2.243301719782053,2.1105988072761663,0.033175728126471626
0.5,1e-07,2.006759607179723,2.101335249304455,0.07093173159354893
0.5,1e-07,0.9658686253550203,0.7937902565056068,0.04301959221235338
0.5,1e-07,1.9555955216701333,1.3958109068623146,0.13994615370195468
0.5,1e-07,1.846034687426032,1.518567721283254,0.08186674153569451
0.5,1e-07,1.1190890800127768,1.1434507428143614,0.018271247101188437
0.5,1e-07,0.7404202712332422,0.7017854115328273,0.009658714925103729
0.5,1e-07,2.12815479733397,2.057452888644507,0.017675477172365728
0.5,1e-07,2.3651251685037646,2.184461573993291,0.04516589862761844
0.5,1e-07,0.7898824630982417,0.5856362729681746,0.05106154753251679
0.5,1e-07,1.060729088954509,0.8792185229810503,0.04537764149336465
0.5,1e-07,1.3369061010575733,1.194647908979072,0.03556454801962533
0.5,1e-07,1.596626751724298,1.28361957345079,0.078251794568377
0.5,1e-07,2.3849894458766436,1.8525134952198352,0.1331189876642021
0.5,1e-07,0.8433157210932204,0.7843191999934999,0.014749130274930133
0.5,1e-07,1.3143782959901584,1.4635769973645971,0.11189902603082902
0.5,1e-07,2.130272888052659,1.9937698422998773,0.03412576143819546
0.5,1e-07,1.25332470239216,1.0809606843489457,0.04309100451080361
0.5,1e-07,2.169970651893799,2.2745545068335447,0.07843789120480915
0.5,1e-07,1.6921680125287883,1.2328245062381349,0.11483587657266336
