hidden_layers,lr,weight_decay,validation_mean_cost,is_best
512-512-512,0.001,0.0,0.08196497871438782,True
512-512-512,0.001,1e-05,0.08337131777507577,False
512-512-512,0.0005,0.0,0.08315287600400785,False
512-512-512,0.0005,1e-05,0.08246380335049946,False
