timestamp,model_name,scenario,test_samples,total_test_runtime_sec,per_sample_runtime_sec
2026-06-19 23:47:34,DNN (Deep_NV),b,1000,2.398592710494995,0.002398592710494995
2026-06-19 23:47:36,Est-Opt (OLS),b,1000,0.0016279220581054688,1.6279220581054688e-06
2026-06-19 23:47:39,KO,b,1000,0.11923098564147949,0.0001192309856414795
2026-06-20 00:05:11,KPQR,b,1000,190.31818008422852,0.19031818008422852
2026-06-20 00:05:13,LinearModel,b,1000,8.821487426757812e-06,8.821487426757812e-09
2026-06-20 00:05:14,LinearModel-L1,b,1000,9.298324584960938e-06,9.298324584960937e-09
2026-06-20 00:05:15,LinearModel-L2,b,1000,1.0967254638671875e-05,1.0967254638671875e-08
2026-06-20 00:05:16,Oracle,b,1000,0.0012218952178955078,1.2218952178955078e-06
2026-06-20 00:06:59,RKHS,b,1000,7.571297645568848,0.007571297645568848
2026-06-20 00:07:00,SAA,b,1000,0.02778792381286621,2.778792381286621e-05
2026-06-20 00:07:02,Minimax (Scarf),b,1000,0.0014400482177734375,1.4400482177734375e-06
