Selected_Sigma,Selected_Lambda,Decision_Q,Demand_D,Operation_Cost
1.0,1e-06,8.732421202639037,8.49805514595262,0.05859151417160424
1.0,1e-06,7.756051358124991,7.650104843762238,0.0264866285906884
1.0,1e-06,7.3506365749439535,6.912826567942592,0.10945250175034027
1.0,1e-06,8.141954938630656,8.346960278341298,0.1537540047829813
1.0,1e-06,7.008779520485216,6.551128847488176,0.11441266824926011
1.0,1e-06,6.824679068919258,6.323894079199494,0.12519624742994084
1.0,1e-06,5.641435687571599,5.30810892928927,0.08333168957058223
1.0,1e-06,6.409073152506688,6.539092901906691,0.09751481205000179
1.0,1e-06,8.83969452128455,8.868857680026192,0.02187236905623191
1.0,1e-06,8.716377322676003,8.925194281506053,0.15661271912253794
1.0,1e-06,7.527043965914137,7.222495279062589,0.07613717171288692
1.0,1e-06,8.430650673231536,8.285926293103483,0.03618109503201339
1.0,1e-06,8.743723593264695,8.946043891905044,0.1517402239802612
1.0,1e-06,4.985638703776486,4.4493106422546775,0.13408201538045206
1.0,1e-06,7.2080301748802516,6.960299388932811,0.06193269648686006
1.0,1e-06,4.16349922554677,3.9520140384042577,0.052871296785628186
1.0,1e-06,6.049198012591539,6.053712669484524,0.0033859926697386022
1.0,1e-06,6.900370498057352,6.790773084298269,0.027399353439770735
1.0,1e-06,6.705574530800065,6.500620461720919,0.051238517269786454
1.0,1e-06,8.216905812568084,7.710382261024762,0.12663088788583066
1.0,1e-06,6.370563531161048,6.714273460251248,0.25778244681764995
1.0,1e-06,10.126331963828102,9.765208781302658,0.09028079563136115
1.0,1e-06,7.426433543621171,7.277944375604007,0.03712229200429085
1.0,1e-06,8.484727445506415,8.256816554559213,0.05697772273680046
1.0,1e-06,6.356696703200107,6.364390033208019,0.005769997505933544
1.0,1e-06,4.302396764658196,4.456703511270679,0.11573005995936225
1.0,1e-06,6.145419118499154,5.8588694481660335,0.07163741758328013
1.0,1e-06,9.211869030730396,8.58312136310994,0.15718691690511388
1.0,1e-06,6.115661029615872,5.671457934485366,0.11105077378262651
1.0,1e-06,8.952299175082619,8.391742823876388,0.1401390878015576
1.0,1e-06,6.16205063007073,5.487642009290754,0.16860215519499389
1.0,1e-06,8.313242049533567,8.231530347818461,0.020427925428776472
1.0,1e-06,7.13770265546961,7.01395455651148,0.030937024739532637
1.0,1e-06,8.008941972537224,8.019936136968349,0.008245623323343665
1.0,1e-06,4.335108357029756,4.284682548091022,0.012606452234683596
1.0,1e-06,9.292204792527974,9.300777664479584,0.006429653963707871
1.0,1e-06,6.431179072661361,6.114927359668258,0.07906292824827577
1.0,1e-06,7.25498513029214,6.883251917207772,0.09293330327109195
1.0,1e-06,7.898143502393543,8.153801050274103,0.19174316091041987
1.0,1e-06,8.146183518382893,7.630094594394893,0.12902223099699994
