sigma,lambda_reg,validation_mean_cost,is_best
0.5,1e-07,0.10485469165882316,False
0.5,1e-06,0.10018817898145174,False
0.5,1e-05,0.09625569641700261,True
1.0,1e-07,0.10398815799077177,False
1.0,1e-06,0.10104234914018762,False
1.0,1e-05,0.09812645856460665,False
2.0,1e-07,0.10118692781231456,False
2.0,1e-06,0.12082997730171578,False
2.0,1e-05,0.10669788249805952,False
