Selected_Bandwidth,Decision_Q,Demand_D,Operation_Cost,Effective_N
0.5,1.663975399060855,1.509852959836098,0.038530609806189275,3000.0
0.5,1.297284123583548,1.2005855572224886,0.024174641590264834,3000.0
0.5,1.9542007132486954,1.846159122649742,0.027010397649738338,3000.0
0.5,1.6315345425649272,1.7047310834276168,0.05489740564701717,3000.0
0.5,3.1457459155135026,3.285502195605206,0.10481721006877753,3000.0
0.5,1.2966582984012296,1.455536526003177,0.11915867070146052,3000.0
0.5,3.009153598233964,3.056185387204444,0.03527384172786008,3000.0
0.5,2.1497384383314437,1.8984693295022552,0.06281727720729713,3000.0
0.5,0.9158741578533047,0.6935817591740384,0.05557309966981658,3000.0
0.5,1.351967314911823,1.2202622102748857,0.032926276159234324,3000.0
0.5,1.481051610741657,1.1496131248559345,0.08285962147143061,3000.0
0.5,2.412665808168378,2.0871842410406165,0.08137039178194039,3000.0
0.5,1.5441470221339966,1.612804702310717,0.05149326013254035,3000.0
0.5,1.5375810781270112,1.4003754954711083,0.03430139566397572,3000.0
0.5,1.294284346306845,1.1984258879283674,0.023964614594619404,3000.0
0.5,2.6213907801244214,1.9674025780358169,0.16349705052215113,3000.0
0.5,0.8839994116093999,1.2197699986743946,0.25182794029874606,3000.0
0.5,1.256381985252112,1.17593749597482,0.02011112231932305,3000.0
0.5,1.970621648648043,1.590087204310144,0.09513361108447477,3000.0
0.5,1.1194947883346769,0.7490017582364318,0.09262325752456127,3000.0
0.5,1.8516319491583837,1.8942911096886217,0.031994370397678495,3000.0
0.5,1.446898835847006,1.391159632802102,0.013934800761225996,3000.0
0.5,2.3748730998657557,2.146593283250138,0.05706995415390437,3000.0
0.5,2.527831518770394,2.309195439718695,0.054659019762924754,3000.0
0.5,1.4224287945544742,1.1001216281300383,0.08057679160610898,3000.0
0.5,1.5854306990077942,1.1099247303751114,0.1188764921581707,3000.0
0.5,2.4405561811824583,1.837142909092743,0.15085331802242885,3000.0
0.5,2.1477137681123737,1.9476724392618048,0.05001033221264223,3000.0
0.5,1.1012652754905077,1.1359661625197504,0.026025665271932008,3000.0
0.5,1.5683745591229121,1.7085342553877714,0.10511977219864443,3000.0
0.5,1.306254175659773,1.027486141641644,0.06969200850453222,3000.0
0.5,0.9656747110922307,1.091330033959649,0.09424149215056374,3000.0
0.5,1.4049898647477939,1.2599223403469142,0.036266881100219917,3000.0
0.5,1.0654084786190932,0.6032269045267586,0.11554539352308363,3000.0
0.5,1.6158908713029012,1.6832043420339795,0.05048510304830872,3000.0
0.5,1.643098137509947,0.8103031485742977,0.2081987472339123,3000.0
0.5,0.7929368173780713,0.8500711871865217,0.04285077735633783,3000.0
0.5,2.0275414342279143,1.7029500361935497,0.08114784950859116,3000.0
0.5,2.216225533211296,1.8416249006045495,0.09365015815168665,3000.0
0.5,1.2906841854059712,1.4786355771436488,0.1409635438032582,3000.0
0.5,1.2612890704799427,0.804377644869956,0.11422785640249666,3000.0
0.5,1.9860437726708333,1.722843922452732,0.0657999625545253,3000.0
0.5,2.065167056101318,2.3374292042034783,0.20419661107662024,3000.0
0.5,1.4352612412586156,1.6040880974043892,0.12662014210933015,3000.0
0.5,1.4348698250611223,1.1448393651896094,0.07250761496787822,3000.0
0.5,0.7841392016581228,0.8363914068522891,0.03918915389562472,3000.0
0.5,1.1098924936732115,0.7090167270569461,0.10021894165406636,3000.0
0.5,1.1184373668710532,0.940655688698108,0.0444454195432363,3000.0
0.5,1.7378504366827559,1.6980463455978512,0.00995102277122617,3000.0
0.5,1.095731681303746,0.7888954078740008,0.07670906835743632,3000.0
0.5,1.121941516038968,1.206606294366641,0.06349858374575462,3000.0
0.5,1.8113591144567354,1.5453619151150364,0.06649929983542474,3000.0
0.5,2.2203079278278324,1.7559853863336592,0.1160806353735433,3000.0
0.5,1.3659124705116072,0.8478327857519984,0.12951992118990222,3000.0
0.5,1.025778707590069,0.4980073831191111,0.1319428311177395,3000.0
0.5,2.517278461185249,1.966339764121079,0.13773467426604247,3000.0
0.5,0.9534717367804063,0.8989654101998703,0.013626581645134,3000.0
0.5,1.4507566728244747,1.3684680366494335,0.020572159043760307,3000.0
0.5,1.4453228119084551,1.5146829991623083,0.052020140440389884,3000.0
