Decision_Q,Demand_D,Operation_Cost,Mu_Pred,Sigma_Pred,Beta_Intercept,Beta_Feat_1,Beta_Feat_2,Beta_Feat_3,Beta_Feat_4
1.3959431926652912,1.509852959836098,0.08543232537810502,1.2279854181710195,0.24901456908047107,0.9167139253042335,4.0975886032388775,0.07220271024718886,-0.002322500584616449,0.031828600876505624
1.2539351614550955,1.2005855572224886,0.013337401058151732,1.0975375664139522,0.23187542137693978,0.9167139253042335,4.0975886032388775,0.07220271024718886,-0.002322500584616449,0.031828600876505624
1.5548100552708335,1.846159122649742,0.2185118005341814,1.3947682836387938,0.2372782856752288,0.9167139253042335,4.0975886032388775,0.07220271024718886,-0.002322500584616449,0.031828600876505624
1.7548431259833703,1.7047310834276168,0.01252801063893838,1.5858320549512332,0.2505761888642543,0.9167139253042335,4.0975886032388775,0.07220271024718886,-0.002322500584616449,0.031828600876505624
1.9684168904394928,3.285502195605206,0.9878139788742849,1.780265062092449,0.2789543181232122,0.9167139253042335,4.0975886032388775,0.07220271024718886,-0.002322500584616449,0.031828600876505624
1.267866103004065,1.455536526003177,0.14075281724933397,1.1049344645586059,0.24156280862399046,0.9167139253042335,4.0975886032388775,0.07220271024718886,-0.002322500584616449,0.031828600876505624
1.8431707803155835,3.056185387204444,0.9097609551666456,1.676472520883974,0.24714720925432662,0.9167139253042335,4.0975886032388775,0.07220271024718886,-0.002322500584616449,0.031828600876505624
2.1223618369345463,1.8984693295022552,0.055973126858072764,1.9457911077203405,0.2617841548561335,0.9167139253042335,4.0975886032388775,0.07220271024718886,-0.002322500584616449,0.031828600876505624
1.1330202769867264,0.6935817591740384,0.10985962945317199,0.9679843691153756,0.2446826031431508,0.9167139253042335,4.0975886032388775,0.07220271024718886,-0.002322500584616449,0.031828600876505624
1.5691584365484157,1.2202622102748857,0.0872240565683825,1.3918165483712954,0.26292747684537077,0.9167139253042335,4.0975886032388775,0.07220271024718886,-0.002322500584616449,0.031828600876505624
1.208818183614626,1.1496131248559345,0.014801264689672855,1.0341818052944454,0.2589162819292834,0.9167139253042335,4.0975886032388775,0.07220271024718886,-0.002322500584616449,0.031828600876505624
1.9854608330346926,2.0871842410406165,0.07629255600444296,1.8080849255162823,0.26297791399623954,0.9167139253042335,4.0975886032388775,0.07220271024718886,-0.002322500584616449,0.031828600876505624
1.2557549275064248,1.612804702310717,0.2677873311032192,1.095013956505623,0.2383149202105334,0.9167139253042335,4.0975886032388775,0.07220271024718886,-0.002322500584616449,0.031828600876505624
1.5921752856080758,1.4003754954711083,0.047949947534241866,1.4268319914656944,0.24513833471051882,0.9167139253042335,4.0975886032388775,0.07220271024718886,-0.002322500584616449,0.031828600876505624
