hidden_layers,lr,weight_decay,validation_mean_cost,is_best
512-512-512,0.001,0.0,0.08430448393213709,True
512-512-512,0.001,1e-05,0.08495894363335359,False
512-512-512,0.0005,0.0,0.08581285573992378,False
512-512-512,0.0005,1e-05,0.0847921962123071,False
