Selected_Bandwidth,Decision_Q,Demand_D,Operation_Cost
0.12,1.583527368306565,1.0977221583086458,0.12145130249947977
0.12,1.7597586059608554,1.5170259400416986,0.06068316647978922
0.12,1.6819416976003516,1.257099325052912,0.10621059313685988
0.12,1.5783414645385785,1.2283980746489764,0.08748584747240051
0.12,1.606859879172461,1.377579442137919,0.05732010925863551
0.12,1.79527531914605,1.664800615423419,0.03261867593065776
0.12,1.8583300254303552,2.029220285372671,0.12816769495673674
0.12,1.5212334464245263,1.539945889270875,0.014034332134761573
0.12,1.2605704928547057,0.7184868144317519,0.13552091960573845
0.12,1.7342801248272244,1.418402069471202,0.07896951383900558
0.12,2.012730830333537,1.9271008730856196,0.021407489311979333
0.12,1.7179143457400323,1.1420857096122172,0.14395715903195377
0.12,2.316557119125102,2.404469724323005,0.065934453898427
0.12,2.116507129130171,1.8702252435670703,0.06157047139077515
0.12,1.8117112322728297,1.7999668565726603,0.002936093925042349
0.12,2.2692328434357836,2.04142381007393,0.05695225834046336
0.12,2.1770590793111104,2.310157803026623,0.09982404278663459
0.12,1.893807169444456,1.520097056100686,0.09342752833594253
0.12,1.4518982473310154,1.1413832071558263,0.07762876004379726
0.12,1.3615995320091745,1.3735841718395263,0.008988479872763855
0.12,1.6658967947723582,1.1564497321983658,0.1273617656434981
0.12,1.3898949472461994,1.2053673805542464,0.04613189167298826
0.12,1.1701814366057668,0.8581001969920223,0.07802030990343611
0.12,1.6910915570623288,1.93741671307953,0.1847438670129008
0.12,1.535023791373786,1.2865688036101703,0.062113746940903936
0.12,1.1822838866908854,0.795265271703729,0.0967546537467891
0.12,1.596052310492655,1.7340829509565965,0.10352298034795615
0.12,1.5731378479420803,1.0251647916324051,0.1369932640774188
0.12,0.9338525625123112,0.6013782470031723,0.08311857887728472
0.12,1.1605676793328206,0.944253274197148,0.05407860128391814
0.12,1.7313934156054516,1.0929098559882735,0.15962088990429452
0.12,1.9655592341419628,1.619946310274397,0.08640323096689145
0.12,1.1591691419228058,0.755805288249378,0.10084096341835697
0.12,1.466600797201177,1.3913325398994123,0.01881706432544117
