Selected_Hidden_Layers,Selected_LR,Selected_Weight_Decay,Selected_Update_Step,Decision_Q,Demand_D,Operation_Cost
512-512-512,0.001,0.0,80,1.4446989297866821,1.0977221583086458,0.08674419286950907
512-512-512,0.001,0.0,80,1.6396020650863647,1.5170259400416986,0.03064403126116655
512-512-512,0.001,0.0,80,1.761533260345459,1.257099325052912,0.12610848382313672
512-512-512,0.001,0.0,80,1.4158555269241333,1.2283980746489764,0.04686436306878922
512-512-512,0.001,0.0,80,1.3846180438995361,1.377579442137919,0.00175965044040427
512-512-512,0.001,0.0,80,1.8050967454910278,1.664800615423419,0.03507403251690222
512-512-512,0.001,0.0,80,1.8404818773269653,2.029220285372671,0.14155380603427914
512-512-512,0.001,0.0,80,1.3445526361465454,1.539945889270875,0.14654493984324723
512-512-512,0.001,0.0,80,1.1437608003616333,0.7184868144317519,0.10631849648247035
512-512-512,0.001,0.0,80,1.6030665636062622,1.418402069471202,0.046166123533765036
512-512-512,0.001,0.0,80,2.048349142074585,1.9271008730856196,0.030312067247241337
512-512-512,0.001,0.0,80,1.732170820236206,1.1420857096122172,0.1475212776559972
512-512-512,0.001,0.0,80,2.2012555599212646,2.404469724323005,0.15241062330130517
512-512-512,0.001,0.0,80,2.0451879501342773,1.8702252435670703,0.04374067664180176
512-512-512,0.001,0.0,80,1.8798692226409912,1.7999668565726603,0.019975591517082725
512-512-512,0.001,0.0,80,2.2501778602600098,2.04142381007393,0.052188512546519905
512-512-512,0.001,0.0,80,2.1947689056396484,2.310157803026623,0.08654167304023108
512-512-512,0.001,0.0,80,1.8616923093795776,1.520097056100686,0.08539881331972293
512-512-512,0.001,0.0,80,1.4033935070037842,1.1413832071558263,0.06550257496198947
512-512-512,0.001,0.0,80,1.3381870985031128,1.3735841718395263,0.026547805002310132
512-512-512,0.001,0.0,80,1.5249381065368652,1.1564497321983658,0.09212209358462486
512-512-512,0.001,0.0,80,1.3258297443389893,1.2053673805542464,0.03011559094618571
512-512-512,0.001,0.0,80,0.9442091584205627,0.8581001969920223,0.021527240357135102
512-512-512,0.001,0.0,80,1.6544246673583984,1.93741671307953,0.2122440342908486
512-512-512,0.001,0.0,80,1.4710026979446411,1.2865688036101703,0.04610847358361769
512-512-512,0.001,0.0,80,1.1404169797897339,0.795265271703729,0.08628792702150123
512-512-512,0.001,0.0,80,1.5244039297103882,1.7340829509565965,0.15725926593465622
512-512-512,0.001,0.0,80,1.5740635395050049,1.0251647916324051,0.13722468696814993
512-512-512,0.001,0.0,80,0.7051588296890259,0.6013782470031723,0.025945145671463388
512-512-512,0.001,0.0,80,1.1230686902999878,0.944253274197148,0.04470385402570995
512-512-512,0.001,0.0,80,1.5943584442138672,1.0929098559882735,0.12536214705639842
512-512-512,0.001,0.0,80,2.0483622550964355,1.619946310274397,0.10710398620550965
512-512-512,0.001,0.0,80,1.1072285175323486,0.755805288249378,0.08785580732074266
512-512-512,0.001,0.0,80,1.6704844236373901,1.3913325398994123,0.06978797093449446
512-512-512,0.001,0.0,80,1.6200188398361206,1.640763147930571,0.015558231070837869
512-512-512,0.001,0.0,80,1.5072381496429443,1.3407657561712218,0.04161809836793062
512-512-512,0.001,0.0,80,1.775009036064148,1.695087511406765,0.01998038116434575
512-512-512,0.001,0.0,80,1.4841198921203613,1.385017103161994,0.024775697239591832
512-512-512,0.001,0.0,80,1.5071759223937988,1.210898406343958,0.07406937901246019
512-512-512,0.001,0.0,80,2.7375168800354004,2.447870989248717,0.07241147269667081
512-512-512,0.001,0.0,80,1.8215947151184082,1.3748968653386662,0.11167446244493551
512-512-512,0.001,0.0,80,1.406032681465149,1.592591494053886,0.13991910944155272
512-512-512,0.001,0.0,80,1.024985432624817,1.062216211894723,0.027923084452429525
512-512-512,0.001,0.0,80,1.6160695552825928,0.8704893393709099,0.18639505397792072
