timestamp,model_name,scenario,test_samples,total_test_runtime_sec,per_sample_runtime_sec
2026-06-19 20:06:47,DNN (Deep_NV),a,1000,0.972480058670044,0.0009724800586700439
2026-06-19 20:06:48,Est-Opt (OLS),a,1000,0.0013017654418945312,1.3017654418945312e-06
2026-06-19 20:06:51,KO,a,1000,0.10856509208679199,0.000108565092086792
2026-06-19 20:15:28,KPQR,a,1000,90.22601199150085,0.09022601199150085
2026-06-19 20:15:30,LinearModel,a,1000,1.0967254638671875e-05,1.0967254638671875e-08
2026-06-19 20:15:31,LinearModel-L1,a,1000,7.867813110351562e-06,7.867813110351563e-09
2026-06-19 20:15:32,LinearModel-L2,a,1000,7.867813110351562e-06,7.867813110351563e-09
2026-06-19 20:15:33,Oracle,a,1000,0.0013051033020019531,1.3051033020019532e-06
2026-06-19 20:17:57,RKHS,a,1000,16.96778106689453,0.016967781066894533
2026-06-19 20:17:59,SAA,a,1000,0.027187824249267578,2.718782424926758e-05
2026-06-19 20:18:01,Minimax (Scarf),a,1000,0.0009987354278564453,9.987354278564453e-07
