Selected_Hidden_Layers,Selected_LR,Selected_Weight_Decay,Selected_Update_Step,Decision_Q,Demand_D,Operation_Cost
512-512-512,0.0005,1e-05,80,1.9847735166549683,2.114355993564866,0.09718685768242341
512-512-512,0.0005,1e-05,80,1.257757544517517,1.0672620661732706,0.04762386958606163
512-512-512,0.0005,1e-05,80,0.9919201135635376,0.9796297121346752,0.003072600357215599
512-512-512,0.0005,1e-05,80,2.4616477489471436,1.975574486317324,0.12151831565745491
512-512-512,0.0005,1e-05,80,1.1285901069641113,0.7616725237813999,0.09172939579567785
512-512-512,0.0005,1e-05,80,1.207853078842163,1.3478191583335064,0.10497455961850749
512-512-512,0.0005,1e-05,80,0.8648406863212585,0.4660306392414154,0.09970251176996078
512-512-512,0.0005,1e-05,80,1.9378504753112793,1.723935834227896,0.0534786602708458
512-512-512,0.0005,1e-05,80,1.6719918251037598,1.5687073433400924,0.025821120440916834
512-512-512,0.0005,1e-05,80,1.169979453086853,0.8922989052538417,0.06942013695825283
512-512-512,0.0005,1e-05,80,2.4756205081939697,2.213784276982174,0.06545905780294892
512-512-512,0.0005,1e-05,80,1.2622483968734741,1.317558661126661,0.041482698189890144
512-512-512,0.0005,1e-05,80,1.501207947731018,1.0007882443682372,0.1251049258406952
512-512-512,0.0005,1e-05,80,1.7779375314712524,1.2332042781651205,0.136183313326533
512-512-512,0.0005,1e-05,80,1.9086661338806152,1.8839717881355127,0.006173586436275635
512-512-512,0.0005,1e-05,80,1.6435133218765259,1.3135203722297668,0.08249823741168977
512-512-512,0.0005,1e-05,80,1.440901279449463,0.9979411127025696,0.11074004168672333
512-512-512,0.0005,1e-05,80,1.0625181198120117,0.1354671699608864,0.23176273746278134
512-512-512,0.0005,1e-05,80,1.5884758234024048,1.3232143662733478,0.06631536428226426
512-512-512,0.0005,1e-05,80,1.3068560361862183,1.2809880542649288,0.006466995480322368
512-512-512,0.0005,1e-05,80,1.9543408155441284,1.6228164777376504,0.08288108445161951
512-512-512,0.0005,1e-05,80,1.397774577140808,0.9245231619131548,0.11831285380691334
512-512-512,0.0005,1e-05,80,1.6404027938842773,1.1849638105800175,0.11385974582606495
512-512-512,0.0005,1e-05,80,1.682642936706543,1.26667253676314,0.10399259998585075
512-512-512,0.0005,1e-05,80,2.6834309101104736,2.7611553737563015,0.05829334773437089
512-512-512,0.0005,1e-05,80,1.3005622625350952,0.9790018204308868,0.0803901105260521
512-512-512,0.0005,1e-05,80,1.1914613246917725,0.9651065558940736,0.05658869219942472
512-512-512,0.0005,1e-05,80,1.8114815950393677,1.1240275354697835,0.17186351489239604
512-512-512,0.0005,1e-05,80,2.1872103214263916,1.8712907504662928,0.0789798927400247
512-512-512,0.0005,1e-05,80,1.6327568292617798,1.0848718271699949,0.13697125052294623
512-512-512,0.0005,1e-05,80,1.8069425821304321,1.590743912367838,0.05404966744064854
512-512-512,0.0005,1e-05,80,2.0050747394561768,1.5100452561337052,0.12375737083061789
512-512-512,0.0005,1e-05,80,1.7343612909317017,1.1184793341940695,0.15397048918440803
512-512-512,0.0005,1e-05,80,2.1401000022888184,1.9521390424818,0.04699023995175461
512-512-512,0.0005,1e-05,80,1.8601123094558716,1.7441978849138595,0.028978606135503016
512-512-512,0.0005,1e-05,80,2.371946334838867,1.8661687918118552,0.12644438575675299
512-512-512,0.0005,1e-05,80,1.428579568862915,1.3893381276778356,0.00981036029626986
512-512-512,0.0005,1e-05,80,1.3853789567947388,1.1606107053831245,0.05619206285290357
512-512-512,0.0005,1e-05,80,1.2742255926132202,0.999012825149963,0.0688031918658143
512-512-512,0.0005,1e-05,80,1.3412160873413086,1.187828460037198,0.03834690682602765
512-512-512,0.0005,1e-05,80,2.1200966835021973,2.0470403673234903,0.01826407904467675
