hidden_layers,lr,weight_decay,validation_mean_cost,is_best
512-512-512,0.001,0.0,0.10172420531887602,False
512-512-512,0.001,1e-05,0.10150592579741934,True
512-512-512,0.0005,0.0,0.10423170517594245,False
512-512-512,0.0005,1e-05,0.10267761065351584,False
